"date","time","tank_num","temp_C","oxygen_conc_mgL","treatment","DO_treat","temp_treat","date_time","pH","cycle"
2024-06-05,1447,1,23.2,6.65,"control","normoxic","ambient",2024-06-05 14:47:00,7.53,"hypoxic"
2024-06-05,1449,2,23.3,6.9,"control","normoxic","ambient",2024-06-05 14:49:00,7.57,"hypoxic"
2024-06-05,1450,3,23.3,7.01,"control","normoxic","ambient",2024-06-05 14:50:00,7.59,"hypoxic"
2024-06-05,1451,4,23.2,6.58,"control","normoxic","ambient",2024-06-05 14:51:00,7.49,"hypoxic"
2024-06-05,1453,5,23.3,6.86,"control","normoxic","ambient",2024-06-05 14:53:00,7.56,"hypoxic"
2024-06-05,1453,6,23.2,6.93,"control","normoxic","ambient",2024-06-05 14:53:00,7.54,"hypoxic"
2024-06-05,1456,7,23.2,2.22,"hypoxic","hypoxic","ambient",2024-06-05 14:56:00,7.17,"hypoxic"
2024-06-05,1457,8,23.2,2.73,"hypoxic","hypoxic","ambient",2024-06-05 14:57:00,7.14,"hypoxic"
2024-06-05,1458,9,23.2,2.18,"hypoxic","hypoxic","ambient",2024-06-05 14:58:00,7.15,"hypoxic"
2024-06-05,1500,10,23.2,2.53,"hypoxic","hypoxic","ambient",2024-06-05 15:00:00,7.16,"hypoxic"
2024-06-05,1501,11,23.2,4.44,"hypoxic","hypoxic","ambient",2024-06-05 15:01:00,7.19,"hypoxic"
2024-06-05,1503,12,23.2,2.7,"hypoxic","hypoxic","ambient",2024-06-05 15:03:00,7.19,"hypoxic"
2024-06-05,1505,13,25.4,2.89,"both","hypoxic","warm",2024-06-05 15:05:00,7.27,"hypoxic"
2024-06-05,1507,14,23.6,1.66,"both","hypoxic","warm",2024-06-05 15:07:00,7.22,"hypoxic"
2024-06-05,1509,15,23.5,1.71,"both","hypoxic","warm",2024-06-05 15:09:00,7.24,"hypoxic"
2024-06-05,1510,16,23.5,1.75,"both","hypoxic","warm",2024-06-05 15:10:00,7.26,"hypoxic"
2024-06-05,1512,17,23.6,1.64,"both","hypoxic","warm",2024-06-05 15:12:00,7.21,"hypoxic"
2024-06-05,1513,18,23.5,1.63,"both","hypoxic","warm",2024-06-05 15:13:00,7.23,"hypoxic"
2024-06-05,1515,19,23.5,7.22,"warm","normoxic","warm",2024-06-05 15:15:00,7.63,"hypoxic"
2024-06-05,1516,20,23.5,7.41,"warm","normoxic","warm",2024-06-05 15:16:00,7.7,"hypoxic"
2024-06-05,1517,21,23.6,7.24,"warm","normoxic","warm",2024-06-05 15:17:00,7.54,"hypoxic"
2024-06-05,1518,22,23.5,7.36,"warm","normoxic","warm",2024-06-05 15:18:00,7.68,"hypoxic"
2024-06-05,1518,23,23.5,7.43,"warm","normoxic","warm",2024-06-05 15:18:00,7.64,"hypoxic"
2024-06-05,1519,24,23.6,7.27,"warm","normoxic","warm",2024-06-05 15:19:00,7.62,"hypoxic"
2024-06-06,1034,24,23,7.44,"warm","normoxic","warm",2024-06-06 10:34:00,7.65,"normoxic"
2024-06-06,923,23,22.9,1.68,"warm","normoxic","warm",2024-06-06 09:23:00,7,"normoxic"
2024-06-06,925,22,22.9,3.39,"warm","normoxic","warm",2024-06-06 09:25:00,6.97,"normoxic"
2024-06-06,930,21,23,2.6,"warm","normoxic","warm",2024-06-06 09:30:00,7.09,"normoxic"
2024-06-06,932,20,23,3.54,"warm","normoxic","warm",2024-06-06 09:32:00,7.03,"normoxic"
2024-06-06,934,19,23,2.96,"warm","normoxic","warm",2024-06-06 09:34:00,7.03,"normoxic"
2024-06-06,936,18,23.1,6.5,"both","hypoxic","warm",2024-06-06 09:36:00,7.21,"normoxic"
2024-06-06,939,17,23,1.62,"both","hypoxic","warm",2024-06-06 09:39:00,7.19,"normoxic"
2024-06-06,947,16,23.1,4.72,"both","hypoxic","warm",2024-06-06 09:47:00,7.13,"normoxic"
