Tank_num,Date / Time,pH Value,mV Value,Temperature,Average Slope,Date / Time,Salinity Value,Conductance Value,Temperature,Salinity Type,Reference Temperature,Cell Constant,Date / Time,Concentration Value,Saturation Value,Partial Pressure,Solution Temperature,Barometric Pressure,Salinity Correction,Slope,,Notes
1,6/5/2024 14:47,7.53 pH,-23.6 mV,23.2 °C,98.80%,6/5/2024 14:47,8.957 psu,31.075 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:47,6.65 mg/L,82.2 % sat,126.6 Torr,23.1 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
2,6/5/2024 14:49,7.57 pH,-25.8 mV,23.3 °C,98.80%,6/5/2024 14:49,8.991 psu,31.196 mS,23.3 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:49,6.90 mg/L,85.3 % sat,131.4 Torr,23.2 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
3,6/5/2024 14:50,7.59 pH,-27.2 mV,23.3 °C,98.80%,6/5/2024 14:50,8.994 psu,31.204 mS,23.3 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:50,7.01 mg/L,86.7 % sat,133.5 Torr,23.2 °C,757.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
4,6/5/2024 14:51,7.49 pH,-21.4 mV,23.2 °C,98.80%,6/5/2024 14:51,8.980 psu,31.154 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:51,6.58 mg/L,81.3 % sat,125.2 Torr,23.1 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
5,6/5/2024 14:53,7.56 pH,-25.3 mV,23.3 °C,98.80%,6/5/2024 14:53,8.992 psu,31.198 mS,23.3 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:53,6.86 mg/L,84.9 % sat,130.7 Torr,23.2 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
6,6/5/2024 14:53,7.54 pH,-24.4 mV,23.2 °C,98.80%,6/5/2024 14:53,8.990 psu,31.177 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:53,6.93 mg/L,85.6 % sat,131.8 Torr,23.1 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
7,6/5/2024 14:56,7.17 pH,-2.8 mV,23.2 °C,98.80%,6/5/2024 14:56,8.992 psu,31.192 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:56,2.22 mg/L,27.4 % sat,42.1 Torr,23.1 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
8,6/5/2024 14:57,7.14 pH,-1.0 mV,23.2 °C,98.80%,6/5/2024 14:57,8.991 psu,31.176 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:57,2.73 mg/L,33.7 % sat,51.9 Torr,23.1 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
9,6/5/2024 14:58,7.15 pH,-1.7 mV,23.2 °C,98.80%,6/5/2024 14:58,8.991 psu,31.189 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 14:58,2.18 mg/L,26.9 % sat,41.5 Torr,23.1 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
10,6/5/2024 15:00,7.16 pH,-1.9 mV,23.2 °C,98.80%,6/5/2024 15:00,8.987 psu,31.144 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:00,2.53 mg/L,31.3 % sat,48.3 Torr,23.1 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
