date,time,tank_num,temp_C,oxygen_conc_mgL,treatment,DO_treat,temp_treat,date_time,pH,cycle,measurement_error
7/27/24,827,1,27.2,6.86,control,normoxic,ambient,7/27/24 8:27,7.99,normoxic,
7/27/24,828,2,27.3,6.91,control,normoxic,ambient,7/27/24 8:28,7.97,normoxic,
7/27/24,828,3,27.3,6.95,control,normoxic,ambient,7/27/24 8:28,7.97,normoxic,
7/27/24,829,4,27.2,6.99,control,normoxic,ambient,7/27/24 8:29,7.97,normoxic,
7/27/24,830,5,27.2,6.96,control,normoxic,ambient,7/27/24 8:30,7.97,normoxic,
7/27/24,830,6,27.3,6.96,control,normoxic,ambient,7/27/24 8:30,7.97,normoxic,
7/27/24,832,7,27.3,6.84,hypoxic,hypoxic,ambient,7/27/24 8:32,7.96,normoxic,
7/27/24,833,8,27.4,6.95,hypoxic,hypoxic,ambient,7/27/24 8:33,7.97,normoxic,
7/27/24,833,9,27.4,7.05,hypoxic,hypoxic,ambient,7/27/24 8:33,7.97,normoxic,
7/27/24,834,10,27.4,6.98,hypoxic,hypoxic,ambient,7/27/24 8:34,7.97,normoxic,
7/27/24,835,11,27.4,6.95,hypoxic,hypoxic,ambient,7/27/24 8:35,7.97,normoxic,
7/27/24,835,12,27.4,6.97,hypoxic,hypoxic,ambient,7/27/24 8:35,7.97,normoxic,
7/27/24,837,13,30.6,6.45,both,hypoxic,warm,7/27/24 8:37,7.92,normoxic,
7/27/24,837,14,30.6,6.52,both,hypoxic,warm,7/27/24 8:37,7.92,normoxic,
7/27/24,838,15,30.6,6.52,both,hypoxic,warm,7/27/24 8:38,7.92,normoxic,
7/27/24,838,16,30.6,6.56,both,hypoxic,warm,7/27/24 8:38,7.92,normoxic,
7/27/24,839,17,30.5,6.55,both,hypoxic,warm,7/27/24 8:39,7.92,normoxic,
7/27/24,839,18,30.5,6.4,both,hypoxic,warm,7/27/24 8:39,7.91,normoxic,
7/27/24,841,19,30.5,6.35,warm,normoxic,warm,7/27/24 8:41,7.91,normoxic,
7/27/24,842,20,30.5,6.45,warm,normoxic,warm,7/27/24 8:42,7.92,normoxic,
7/27/24,843,21,30.5,6.53,warm,normoxic,warm,7/27/24 8:43,7.93,normoxic,
7/27/24,843,22,30.5,6.55,warm,normoxic,warm,7/27/24 8:43,7.92,normoxic,
7/27/24,844,23,30.5,6.48,warm,normoxic,warm,7/27/24 8:44,7.92,normoxic,
7/27/24,844,24,30.5,6.48,warm,normoxic,warm,7/27/24 8:44,7.92,normoxic,
7/27/24,1515,1,27.8,6.99,control,normoxic,ambient,7/27/24 15:15,7.94,hypoxic,
7/27/24,1516,2,27.9,6.86,control,normoxic,ambient,7/27/24 15:16,7.88,hypoxic,
7/27/24,1516,3,27.8,6.93,control,normoxic,ambient,7/27/24 15:16,7.9,hypoxic,
7/27/24,1518,4,27.8,6.9,control,normoxic,ambient,7/27/24 15:18,7.9,hypoxic,
7/27/24,1518,5,27.8,7.02,control,normoxic,ambient,7/27/24 15:18,7.94,hypoxic,
7/27/24,1519,6,27.9,6.98,control,normoxic,ambient,7/27/24 15:19,8.02,hypoxic,
7/27/24,1522,7,27.8,0.64,hypoxic,hypoxic,ambient,7/27/24 15:22,8.19,hypoxic,
7/27/24,1524,8,27.9,0.67,hypoxic,hypoxic,ambient,7/27/24 15:24,8.22,hypoxic,
7/27/24,1526,9,27.9,0.65,hypoxic,hypoxic,ambient,7/27/24 15:26,8.23,hypoxic,
7/27/24,1527,10,27.8,0.69,hypoxic,hypoxic,ambient,7/27/24 15:27,8.23,hypoxic,
7/27/24,1529,11,27.8,0.54,hypoxic,hypoxic,ambient,7/27/24 15:29,8.21,hypoxic,
7/27/24,1531,12,27.8,0.78,hypoxic,hypoxic,ambient,7/27/24 15:31,8.2,hypoxic,
7/27/24,1533,13,30.8,0.64,both,hypoxic,warm,7/27/24 15:33,7.78,hypoxic,
7/27/24,1535,14,30.9,0.76,both,hypoxic,warm,7/27/24 15:35,7.77,hypoxic,
7/27/24,1537,15,30.7,1.07,both,hypoxic,warm,7/27/24 15:37,7.77,hypoxic,
7/27/24,1539,16,30.9,0.6,both,hypoxic,warm,7/27/24 15:39,7.79,hypoxic,
7/27/24,1541,17,30.9,0.68,both,hypoxic,warm,7/27/24 15:41,7.8,hypoxic,
7/27/24,1542,18,30.8,0.69,both,hypoxic,warm,7/27/24 15:42,7.78,hypoxic,
7/27/24,1544,19,30.8,6.3,warm,normoxic,warm,7/27/24 15:44,7.98,hypoxic,
7/27/24,1545,20,30.9,6.26,warm,normoxic,warm,7/27/24 15:45,7.95,hypoxic,
7/27/24,1546,21,30.9,6.51,warm,normoxic,warm,7/27/24 15:46,8.01,hypoxic,
7/27/24,1547,22,30.8,6.46,warm,normoxic,warm,7/27/24 15:47,7.99,hypoxic,
7/27/24,1548,23,30.8,6.53,warm,normoxic,warm,7/27/24 15:48,7.99,hypoxic,
7/27/24,1548,24,30.9,6.47,warm,normoxic,warm,7/27/24 15:48,7.97,hypoxic,
7/28/24,902,24,30.5,6.34,warm,normoxic,warm,7/28/24 9:02,7.72,normoxic,
7/28/24,903,23,30.5,6.36,warm,normoxic,warm,7/28/24 9:03,7.71,normoxic,
7/28/24,904,22,30.5,6.28,warm,normoxic,warm,7/28/24 9:04,7.71,normoxic,
7/28/24,905,21,30.5,6.4,warm,normoxic,warm,7/28/24 9:05,7.76,normoxic,
7/28/24,907,20,30.5,6.25,warm,normoxic,warm,7/28/24 9:07,7.72,normoxic,
7/28/24,907,19,30.4,6.28,warm,normoxic,warm,7/28/24 9:07,7.69,normoxic,
7/28/24,909,18,30.5,6.19,both,hypoxic,warm,7/28/24 9:09,7.71,normoxic,
7/28/24,910,17,30.5,6.28,both,hypoxic,warm,7/28/24 9:10,7.71,normoxic,
7/28/24,912,16,30.4,6.23,both,hypoxic,warm,7/28/24 9:12,7.71,normoxic,
7/28/24,913,15,30.3,6.18,both,hypoxic,warm,7/28/24 9:13,7.7,normoxic,
7/28/24,914,14,30.3,5.98,both,hypoxic,warm,7/28/24 9:14,7.62,normoxic,
7/28/24,915,13,30.3,6.1,both,hypoxic,warm,7/28/24 9:15,7.65,normoxic,
7/28/24,916,12,27.4,6.87,hypoxic,hypoxic,ambient,7/28/24 9:16,7.77,normoxic,
7/28/24,918,11,27.3,6.77,hypoxic,hypoxic,ambient,7/28/24 9:18,7.77,normoxic,
7/28/24,918,10,27.4,6.96,hypoxic,hypoxic,ambient,7/28/24 9:18,7.77,normoxic,
7/28/24,919,9,27.4,6.99,hypoxic,hypoxic,ambient,7/28/24 9:19,7.79,normoxic,
7/28/24,920,8,27.4,6.95,hypoxic,hypoxic,ambient,7/28/24 9:20,7.72,normoxic,
7/28/24,921,7,27.3,6.86,hypoxic,hypoxic,ambient,7/28/24 9:21,7.74,normoxic,
7/28/24,922,6,27.3,7.02,control,normoxic,ambient,7/28/24 9:22,7.74,normoxic,
7/28/24,923,5,27.2,6.97,control,normoxic,ambient,7/28/24 9:23,7.76,normoxic,
7/28/24,925,4,27.3,6.95,control,normoxic,ambient,7/28/24 9:25,7.75,normoxic,
7/28/24,926,3,27.3,6.9,control,normoxic,ambient,7/28/24 9:26,7.73,normoxic,
7/28/24,926,2,27.3,6.88,control,normoxic,ambient,7/28/24 9:26,7.7,normoxic,
7/28/24,928,1,27.3,6.94,control,normoxic,ambient,7/28/24 9:28,7.77,normoxic,
7/28/24,1519,24,30.9,6.31,warm,normoxic,warm,7/28/24 15:19,7.75,hypoxic,
7/28/24,1520,23,30.9,6.24,warm,normoxic,warm,7/28/24 15:20,7.74,hypoxic,
7/28/24,1522,22,30.8,6.25,warm,normoxic,warm,7/28/24 15:22,7.74,hypoxic,
7/28/24,1523,21,30.9,6.39,warm,normoxic,warm,7/28/24 15:23,7.79,hypoxic,
7/28/24,1524,20,30.9,6.21,warm,normoxic,warm,7/28/24 15:24,7.74,hypoxic,
7/28/24,1525,19,30.8,6.27,warm,normoxic,warm,7/28/24 15:25,7.74,hypoxic,
7/28/24,1527,18,30.8,0.55,both,hypoxic,warm,7/28/24 15:27,7.56,hypoxic,
7/28/24,1529,17,30.8,0.76,both,hypoxic,warm,7/28/24 15:29,7.59,hypoxic,
7/28/24,1531,16,30.7,0.65,both,hypoxic,warm,7/28/24 15:31,7.56,hypoxic,
7/28/24,1533,15,30.5,1.12,both,hypoxic,warm,7/28/24 15:33,7.52,hypoxic,
7/28/24,1536,14,30.5,1.43,both,hypoxic,warm,7/28/24 15:36,7.38,hypoxic,
7/28/24,1537,13,30.5,1.06,both,hypoxic,warm,7/28/24 15:37,7.36,hypoxic,
7/28/24,1539,12,27.5,0.99,hypoxic,hypoxic,ambient,7/28/24 15:39,7.42,hypoxic,
7/28/24,1540,11,27.9,0.54,hypoxic,hypoxic,ambient,7/28/24 15:40,7.5,hypoxic,
7/28/24,1542,10,28.1,0.64,hypoxic,hypoxic,ambient,7/28/24 15:42,7.55,hypoxic,
7/28/24,1543,9,28.2,0.68,hypoxic,hypoxic,ambient,7/28/24 15:43,7.57,hypoxic,
7/28/24,1545,8,28.1,0.61,hypoxic,hypoxic,ambient,7/28/24 15:45,7.54,hypoxic,
7/28/24,1547,7,28,0.6,hypoxic,hypoxic,ambient,7/28/24 15:47,7.54,hypoxic,
7/28/24,1548,6,28.2,6.77,control,normoxic,ambient,7/28/24 15:48,7.62,hypoxic,
7/28/24,1549,5,28,6.81,control,normoxic,ambient,7/28/24 15:49,7.59,hypoxic,
7/28/24,1550,4,28,6.8,control,normoxic,ambient,7/28/24 15:50,7.58,hypoxic,
7/28/24,1550,3,28,6.77,control,normoxic,ambient,7/28/24 15:50,7.57,hypoxic,
7/28/24,1551,2,28.1,6.69,control,normoxic,ambient,7/28/24 15:51,7.54,hypoxic,
7/28/24,1552,1,28.1,6.76,control,normoxic,ambient,7/28/24 15:52,7.6,hypoxic,
7/29/24,855,1,27.6,6.73,control,normoxic,ambient,7/29/24 8:55,7.67,normoxic,
7/29/24,856,2,27.6,6.8,control,normoxic,ambient,7/29/24 8:56,7.96,normoxic,
7/29/24,857,3,27.6,6.61,control,normoxic,ambient,7/29/24 8:57,7.66,normoxic,
