Tank_num,Date / Time,pH Value,mV Value,Temperature,Average Slope,Date / Time,Salinity Value,Conductance Value,Temperature,Salinity Type,Reference Temperature,Cell Constant,Date / Time,Concentration Value,Saturation Value,Partial Pressure,Solution Temperature,Barometric Pressure,Salinity Correction,Slope
1,7/27/2024 8:27,7.99 pH,-50.8 mV,27.2 째C,99.30%,7/27/2024 8:27,11.11 psu,41.08 mS,27.2 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:27,6.86 mg/L,91.5 % sat,134.7 Torr,27.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
2,7/27/2024 8:28,7.97 pH,-49.6 mV,27.3 째C,99.30%,7/27/2024 8:28,11.09 psu,41.08 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:28,6.91 mg/L,92.1 % sat,135.6 Torr,27.3 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
3,7/27/2024 8:28,7.97 pH,-49.6 mV,27.3 째C,99.30%,7/27/2024 8:28,11.09 psu,41.05 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:28,6.95 mg/L,92.5 % sat,136.2 Torr,27.2 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
4,7/27/2024 8:29,7.97 pH,-49.3 mV,27.2 째C,99.30%,7/27/2024 8:29,11.09 psu,41.00 mS,27.2 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:29,6.99 mg/L,93.0 % sat,137.0 Torr,27.2 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
5,7/27/2024 8:30,7.97 pH,-49.3 mV,27.2 째C,99.30%,7/27/2024 8:30,11.09 psu,41.00 mS,27.2 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:30,6.96 mg/L,92.6 % sat,136.4 Torr,27.2 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
6,7/27/2024 8:30,7.97 pH,-49.2 mV,27.3 째C,99.30%,7/27/2024 8:30,11.09 psu,41.05 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:30,6.96 mg/L,92.6 % sat,136.3 Torr,27.2 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
7,7/27/2024 8:32,7.96 pH,-48.8 mV,27.3 째C,99.30%,7/27/2024 8:32,11.07 psu,41.02 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:32,6.84 mg/L,91.0 % sat,133.9 Torr,27.2 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
8,7/27/2024 8:33,7.97 pH,-49.5 mV,27.4 째C,99.30%,7/27/2024 8:33,11.08 psu,41.10 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:33,6.95 mg/L,92.5 % sat,136.2 Torr,27.3 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
9,7/27/2024 8:33,7.97 pH,-49.6 mV,27.4 째C,99.30%,7/27/2024 8:33,11.07 psu,41.09 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:33,7.05 mg/L,93.9 % sat,138.3 Torr,27.3 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
10,7/27/2024 8:34,7.97 pH,-49.4 mV,27.4 째C,99.30%,7/27/2024 8:34,11.06 psu,41.05 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:34,6.98 mg/L,93.0 % sat,137.0 Torr,27.3 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
11,7/27/2024 8:35,7.97 pH,-49.4 mV,27.4 째C,99.30%,7/27/2024 8:35,11.08 psu,41.08 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:35,6.95 mg/L,92.6 % sat,136.4 Torr,27.3 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
12,7/27/2024 8:35,7.97 pH,-49.4 mV,27.4 째C,99.30%,7/27/2024 8:35,11.08 psu,41.09 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:35,6.97 mg/L,92.8 % sat,136.6 Torr,27.3 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
13,7/27/2024 8:37,7.92 pH,-47.2 mV,30.6 째C,99.30%,7/27/2024 8:37,11.08 psu,43.71 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:37,6.45 mg/L,90.6 % sat,132.4 Torr,30.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
14,7/27/2024 8:37,7.92 pH,-47.1 mV,30.6 째C,99.30%,7/27/2024 8:37,11.09 psu,43.69 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:37,6.52 mg/L,91.5 % sat,133.8 Torr,30.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
15,7/27/2024 8:38,7.92 pH,-47.1 mV,30.6 째C,99.30%,7/27/2024 8:38,11.06 psu,43.60 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:38,6.52 mg/L,91.5 % sat,133.7 Torr,30.5 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
16,7/27/2024 8:38,7.92 pH,-47.2 mV,30.6 째C,99.30%,7/27/2024 8:38,11.08 psu,43.67 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:38,6.56 mg/L,92.2 % sat,134.7 Torr,30.5 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
