Year,Phase_1_treat,Phase_1_treat_old,Phase_1_rep,Phase_2_treat,Phase_2_treat_old,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name_old,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Both,Both,3,Both,Both,1,O,5,S,Both3_Both1_O5_S,2024_Both03_Both01_O5_S,107,,1,
2024,Both,Both,3,Both,Both,1,O,5,T,Both3_Both1_O5_T,2024_Both03_Both01_O5_T,110,,2,
2024,Both,Both,4,Both,Both,1,O,8,S,Both4_Both1_O8_S,2024_Both04_Both01_O8_S,106,,3,
2024,Both,Both,4,Both,Both,1,O,8,T,Both4_Both1_O8_T,2024_Both04_Both01_O8_T,111,,4,
2024,Cont,Control,2,Both,Both,1,W,3,S,Control2_Both1_W3_S,2024_Cont02_Both01_W3_S,81,,5,
2024,Cont,Control,2,Both,Both,1,W,3,T,Control2_Both1_W3_T,2024_Cont02_Both01_W3_T,78,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",6,
2024,Cont,Control,6,Both,Both,1,W,12,S,Control6_Both1_W12_S,2024_Cont06_Both01_W12_S,80,,7,
2024,Cont,Control,6,Both,Both,1,W,12,T,Control6_Both1_W12_T,2024_Cont06_Both01_W12_T,77,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",8,
2024,Hyp,Hypoxic,2,Both,Both,1,B,3,S,Hypoxic2_Both1_B3_S,2024_Hyp02_Both01_B3_S,108,,9,
2024,Hyp,Hypoxic,2,Both,Both,1,B,3,T,Hypoxic2_Both1_B3_T,2024_Hyp02_Both01_B3_T,113,,10,
2024,Hyp,Hypoxic,3,Both,Both,1,B,6,S,Hypoxic3_Both1_B6_S,2024_Hyp03_Both01_B6_S,109,,11,
2024,Hyp,Hypoxic,3,Both,Both,1,B,6,T,Hypoxic3_Both1_B6_T,2024_Hyp03_Both01_B6_T,112,,12,
2024,Warm,Warm,4,Both,Both,1,G,7,S,Warm4_Both1_G7_S,2024_Warm04_Both01_G7_S,82,,13,
2024,Warm,Warm,4,Both,Both,1,G,7,T,Warm4_Both1_G7_T,2024_Warm04_Both01_G7_T,79,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",14,
2024,Warm,Warm,5,Both,Both,1,G,10,S,Warm5_Both1_G10_S,2024_Warm05_Both01_G10_S,84,,15,
2024,Warm,Warm,5,Both,Both,1,G,10,T,Warm5_Both1_G10_T,2024_Warm05_Both01_G10_T,94,"2/19 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/21 SC rehomogenized and all set now.",16,
2024,Both,Both,1,Cont,Control,1,O,1,S,Both1_Control1_O1_S,2024_Both01_Cont01_O1_S,346,,17,
2024,Both,Both,1,Cont,Control,1,O,1,T,Both1_Control1_O1_T,2024_Both01_Cont01_O1_T,348,6/13/25 SC ended with this one today,18,
2024,Both,Both,3,Cont,Control,1,O,5,S,Both3_Control1_O5_S,2024_Both03_Cont01_O5_S,357,,19,
2024,Both,Both,3,Cont,Control,1,O,5,T,Both3_Control1_O5_T,2024_Both03_Cont01_O5_T,NA,"6/9/2025 SC no tissue inside shell, dead",20,Y
2024,Cont,Control,5,Cont,Control,1,W,9,S,Control5_Control1_W9_S,2024_Cont05_Cont01_W9_S,340,,21,
2024,Cont,Control,6,Cont,Control,1,W,10,S,Control6_Control1_W10_S,2024_Cont06_Cont01_W10_S,341,,22,
2024,Cont,Control,6,Cont,Control,1,W,10,T,Control6_Control1_W10_T,2024_Cont06_Cont01_W10_T,344,,23,
2024,Hyp,Hypoxic,1,Cont,Control,1,B,2,S,Hypoxic1_Control1_B2_S,2024_Hyp01_Cont01_B2_S,339,,24,
2024,Cont,Control,5,Cont,Control,1,W,9,T,Warm3_Control1_G6_S,2024_Cont05_Cont01_W9_T,343,"6/13/25 Fixed this sample name to be correct, had the wrong sample name (G6) but the right information in the other columns. Fixed sample name from Warm3_Control1_G6_S",25,
2024,Hyp,Hypoxic,1,Cont,Control,1,B,2,T,Hypoxic1_Control1_B2_T,2024_Hyp01_Cont01_B2_T,342,,26,
2024,Hyp,Hypoxic,4,Cont,Control,1,B,8,S,Hypoxic4_Control1_B8_S,2024_Hyp04_Cont01_B8_S,361,,27,
2024,Hyp,Hypoxic,4,Cont,Control,1,B,8,T,Hypoxic4_Control1_B8_T,2024_Hyp04_Cont01_B8_T,363,,28,
2024,Warm,Warm,3,Cont,Control,1,G,6,S,Warm3_Control1_G6_S,2024_Warm03_Cont01_G6_S,360,,29,
2024,Warm,Warm,3,Cont,Control,1,G,6,T,Warm3_Control1_G6_T,2024_Warm03_Cont01_G6_T,362,,30,
2024,Warm,Warm,6,Cont,Control,1,G,12,S,Warm6_Control1_G12_S,2024_Warm06_Cont01_G12_S,356,,31,
2024,Warm,Warm,6,Cont,Control,1,G,12,T,Warm6_Control1_G12_T,2024_Warm06_Cont01_G12_T,359,,32,
2024,Both,Both,2,Hyp,Hypoxic,1,O,3,S,Both2_Hypoxic1_O3_S,2024_Both02_Hyp01_O3_S,308,6/6/25 SC ended with this one today,33,
2024,Both,Both,2,Hyp,Hypoxic,1,O,3,T,Both2_Hypoxic1_O3_T,2024_Both02_Hyp01_O3_T,316,,34,
2024,Both,Both,5,Hyp,Hypoxic,1,O,10,S,Both5_Hypoxic1_O10_S,2024_Both05_Hyp01_O10_S,306,,35,
2024,Both,Both,5,Hyp,Hypoxic,1,O,10,T,Both5_Hypoxic1_O10_T,2024_Both05_Hyp01_O10_T,311,,36,
2024,Cont,Control,1,Hyp,Hypoxic,1,W,1,S,Control1_Hypoxic1_W1_S,2024_Cont01_Hyp01_W1_S,302,,37,
2024,Cont,Control,1,Hyp,Hypoxic,1,W,1,T,Control1_Hypoxic1_W1_T,2024_Cont01_Hyp01_W1_T,314,,38,
2024,Cont,Control,4,Hyp,Hypoxic,1,W,7,S,Control4_Hypoxic1_W7_S,2024_Cont04_Hyp01_W7_S,305,,39,
2024,Cont,Control,4,Hyp,Hypoxic,1,W,7,T,Control4_Hypoxic1_W7_T,2024_Cont04_Hyp01_W7_T,310,,40,
2024,Hyp,Hypoxic,5,Hyp,Hypoxic,1,B,9,S,Hypoxic5_Hypoxic1_B9_S,2024_Hyp05_Hyp01_B9_S,301,6/6/25 SC started with this one today,41,
2024,Hyp,Hypoxic,5,Hyp,Hypoxic,1,B,9,T,Hypoxic5_Hypoxic1_B9_T,2024_Hyp05_Hyp01_B9_T,309,6/9/25 SC started with this one today,42,
2024,Hyp,Hypoxic,6,Hyp,Hypoxic,1,B,12,S,Hypoxic6_Hypoxic1_B12_S,2024_Hyp06_Hyp01_B12_S,303,,43,
2024,Hyp,Hypoxic,6,Hyp,Hypoxic,1,B,12,T,Hypoxic6_Hypoxic1_B12_T,2024_Hyp06_Hyp01_B12_T,312,,44,
2024,Warm,Warm,2,Hyp,Hypoxic,1,G,4,S,Warm2_Hypoxic1_G4_S,2024_Warm02_Hyp01_G4_S,304,,45,
