Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Both,3,Both,1,O,5,S,Both3_Both1_O5_S,107,,1,
2024,Both,3,Both,1,O,5,T,Both3_Both1_O5_T,110,,2,
2024,Both,4,Both,1,O,8,S,Both4_Both1_O8_S,106,,3,
2024,Both,4,Both,1,O,8,T,Both4_Both1_O8_T,111,,4,
2024,Control,2,Both,1,W,3,S,Control2_Both1_W3_S,81,,5,
2024,Control,2,Both,1,W,3,T,Control2_Both1_W3_T,78,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",6,
2024,Control,6,Both,1,W,12,S,Control6_Both1_W12_S,80,,7,
2024,Control,6,Both,1,W,12,T,Control6_Both1_W12_T,77,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",8,
2024,Hypoxic,2,Both,1,B,3,S,Hypoxic2_Both1_B3_S,108,,9,
2024,Hypoxic,2,Both,1,B,3,T,Hypoxic2_Both1_B3_T,113,,10,
2024,Hypoxic,3,Both,1,B,6,S,Hypoxic3_Both1_B6_S,109,,11,
2024,Hypoxic,3,Both,1,B,6,T,Hypoxic3_Both1_B6_T,112,,12,
2024,Warm,4,Both,1,G,7,S,Warm4_Both1_G7_S,82,,13,
2024,Warm,4,Both,1,G,7,T,Warm4_Both1_G7_T,79,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",14,
2024,Warm,5,Both,1,G,10,S,Warm5_Both1_G10_S,84,,15,
2024,Warm,5,Both,1,G,10,T,Warm5_Both1_G10_T,94,"2/19 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/21 SC rehomogenized and all set now.",16,
2024,Both,1,Control,1,O,1,S,Both1_Control1_O1_S,,,17,
2024,Both,1,Control,1,O,1,T,Both1_Control1_O1_T,,,18,
2024,Both,3,Control,1,O,5,S,Both3_Control1_O5_S,,,19,
2024,Both,3,Control,1,O,5,T,Both3_Control1_O5_T,,,20,
2024,Control,5,Control,1,W,9,S,Control5_Control1_W9_S,,,21,
2024,Control,6,Control,1,W,10,S,Control6_Control1_W10_S,,,22,
2024,Control,6,Control,1,W,10,T,Control6_Control1_W10_T,,,23,
2024,Hypoxic,1,Control,1,B,2,S,Hypoxic1_Control1_B2_S,,,24,
2024,Control,5,Control,1,W,9,T,Warm3_Control1_G6_S,,,25,
2024,Hypoxic,1,Control,1,B,2,T,Hypoxic1_Control1_B2_T,,,26,
2024,Hypoxic,4,Control,1,B,8,S,Hypoxic4_Control1_B8_S,,,27,
2024,Hypoxic,4,Control,1,B,8,T,Hypoxic4_Control1_B8_T,,,28,
2024,Warm,3,Control,1,G,6,S,Warm3_Control1_G6_S,,,29,
2024,Warm,3,Control,1,G,6,T,Warm3_Control1_G6_T,,,30,
2024,Warm,6,Control,1,G,12,S,Warm6_Control1_G12_S,,,31,
2024,Warm,6,Control,1,G,12,T,Warm6_Control1_G12_T,,,32,
2024,Both,2,Hypoxic,1,O,3,S,Both2_Hypoxic1_O3_S,,,33,
2024,Both,2,Hypoxic,1,O,3,T,Both2_Hypoxic1_O3_T,,,34,
2024,Both,5,Hypoxic,1,O,10,S,Both5_Hypoxic1_O10_S,,,35,
2024,Both,5,Hypoxic,1,O,10,T,Both5_Hypoxic1_O10_T,,,36,
2024,Control,1,Hypoxic,1,W,1,S,Control1_Hypoxic1_W1_S,,,37,
2024,Control,1,Hypoxic,1,W,1,T,Control1_Hypoxic1_W1_T,,,38,
2024,Control,4,Hypoxic,1,W,7,S,Control4_Hypoxic1_W7_S,,,39,
2024,Control,4,Hypoxic,1,W,7,T,Control4_Hypoxic1_W7_T,,,40,
2024,Hypoxic,5,Hypoxic,1,B,9,S,Hypoxic5_Hypoxic1_B9_S,,,41,
2024,Hypoxic,5,Hypoxic,1,B,9,T,Hypoxic5_Hypoxic1_B9_T,,,42,
2024,Hypoxic,6,Hypoxic,1,B,12,S,Hypoxic6_Hypoxic1_B12_S,,,43,
2024,Hypoxic,6,Hypoxic,1,B,12,T,Hypoxic6_Hypoxic1_B12_T,,,44,
2024,Warm,2,Hypoxic,1,G,4,S,Warm2_Hypoxic1_G4_S,,,45,
2024,Warm,2,Hypoxic,1,G,4,T,Warm2_Hypoxic1_G4_T,,,46,
2024,Warm,6,Hypoxic,1,G,11,S,Warm6_Hypoxic1_G11_S,,,47,
2024,Warm,6,Hypoxic,1,G,11,T,Warm6_Hypoxic1_G11_T,,,48,
2024,Both,1,Warm,1,O,2,S,Both1_Warm1_O2_S,114,,49,
2024,Both,1,Warm,1,O,2,T,Both1_Warm1_O2_T,120,2/28/25 This is one of the samples that the vial number doesn't match up to the weigh boat/ there were four weigh boats and 3 vials DISCOUNT,50,Y
2024,Both,4,Warm,1,O,8,S,Both4_Warm1_O8_S,117,,51,
2024,Both,4,Warm,1,O,8,T,Both4_Warm1_O8_T,123,"2/28/25 SKM This is the correct vial number, but 120-122 should be four samples rather than three based on the weigh boats. Discounting those and not this one.",52,
2024,Control,1,Warm,1,W,1,S,Control1_Warm1_W1_S,118,,53,
2024,Control,1,Warm,1,W,1,T,Control1_Warm1_W1_T,124,3/5 SC Started with this one today.,54,
2024,Control,2,Warm,1,W,3,S,Control2_Warm1_W3_S,147,,55,
2024,Control,2,Warm,1,W,3,T,Control2_Warm1_W3_T,144,,56,
2024,Hypoxic,3,Warm,1,B,6,S,Hypoxic3_Warm1_B6_S,148,,57,
2024,Hypoxic,3,Warm,1,B,6,T,Hypoxic3_Warm1_B6_T,145,,58,
2024,Hypoxic,5,Warm,1,B,10,S,Hypoxic5_Warm1_B10_S,115,,59,
2024,Hypoxic,5,Warm,1,B,10,T,Hypoxic5_Warm1_B10_T,122,2/28/25 This is one of the samples that the vial number doesn't match up to the weigh boat/ there were four weigh boats and 3 vials DISCOUNT,60,Y
2024,Warm,4,Warm,1,G,7,S,Warm4_Warm1_G7_S,116,,61,
2024,Warm,4,Warm,1,G,7,T,Warm4_Warm1_G7_T,NA,"2/28/25 SKM this one was labelled 119 but thought that was an error based on the order and the appearance of the contents of the vial, DISCOUNT",62,Y
2024,Warm,5,Warm,1,G,9,S,Warm5_Warm1_G9_S,119,2/28/25 SKM we changed the 119 label to this one from Warm4_Warm1_G7_T because of the contents of the vial looking like shell and the order of the weigh boats,63,
2024,Warm,5,Warm,1,G,9,T,Warm5_Warm1_G9_T,121,2/28/25 This is one of the samples that the vial number doesn't match up to the weigh boat/ there were four weigh boats and 3 vials DISCOUNT,64,Y
2024,Both,5,Both,2,O,21,S,Both5_Both2_O21_S,92,2/12 SC had a dead shell attached to the top. Was once a double but no tissue found when dissecting.,65,
2024,Both,5,Both,2,O,21,T,Both5_Both2_O21_T,95,2/12 SC had a dead shell attached to the top. Was once a double but no tissue found when dissecting.,66,
