Sample_Name,Order_pre,Date_MMDDYYYY_pre,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Submerged_weight_pre,Dry_weight_pre,Notes_pre,Order_post,Date_MMDDYYYY_post,Submerged_weight_post,Dry_weight_post,double_single_dead,Notes_post,Actual_shell_pre_mg,Actual_shell_post_mg,Actual_shell_growth_mg,Actual_tissue_pre_mg,Actual_tissue_post_mg,Actual_tissue_growth_mg,Ratio_tissue_shell_mg,Phase_1_temp,Phase_1_DO,Phase_2.1_temp,Phase_2.1_DO,Phase1_Phase2_treat,...32,Phase_1_rep_R,Phase_2_rep_R,Ratio_tissue_shell_pre_mg,Phase1_Phase2_rep,Exclude_all,Exclude_pre_analysis,Phase1N_tissue,Phase1C_tissue,Phase1N_shell,Phase1C_shell,Phase1N_tissue_new,Phase1C_tissue_new,Phase1N_shell_new,Phase1C_shell_new
2024_Both01_Both01_O1,3,7/23/24,2024,Both,01,Both,01,O,1,210.7,630.3,NA,146,8122024,343.5,961.3,NA,NA,331.29408,541.5696,210.27552,299.00592,419.7304,120.72448,0.574125224,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both01,0.902539279,Both01_Both01,NA,NA,21.16297522,118.9499969,0.9938822399999999,55.38133808313601,,,,
2024_Both01_Both01_O2,7,7/23/24,2024,Both,01,Both,01,O,2,218.9,565.5,NA,156,8122024,388.8,907.1,NA,NA,344.27796,613.29762,269.01966,221.22204,293.80238,72.58034,0.269795672,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both01,0.642568116,Both01_Both01,NA,NA,15.657604878271199,88.00615375,1.03283388,57.55181046,,,,
2024_Both01_Both02_O13,50,7/23/24,2024,Both,01,Both,02,O,13,196.1,557.3,NA,380,8122024,460.7,1100.5,NA,NA,308.17644,727.14408,418.96764,249.12356,373.35592,124.23236,0.29652018,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both02,0.808379641,Both01_Both02,NA,NA,17.63241252,99.10588622,0.92452932,51.516838492548004,,,,
2024_Both01_Both02_O14,55,7/23/24,2024,Both,01,Both,02,O,14,235.2,588,NA,373,8122024,415.4,1022.3,NA,NA,370.08738,655.41606,285.32868,217.91262,366.88394,148.97132,0.522104262,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both02,0.588813971,Both01_Both02,NA,NA,15.42337148,86.68960625,1.11026214,61.86628603,,,,
2024_Both01_Both03_O25,98,7/24/24,2024,Both,01,Both,03,O,25,75.9,208.9,NA,547,8122024,123.8,305.4,NA,NA,117.85176,193.69662,75.84486,91.04824,111.70338,20.65514,0.272334078,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both03,0.772565806,Both01_Both03,NA,NA,6.444192300107201,36.22064694996801,0.35355527999999997,19.700889808392002,,,,
2024_Both01_Both03_O26,103,7/24/24,2024,Both,01,Both,03,O,26,177.3,434.3,NA,565,8122024,292.3,660.7,NA,NA,278.40852,460.49952,182.091,155.89148,200.20048,44.309,0.243334377,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both03,0.559937893,Both01_Both03,NA,NA,11.03365288,62.016467968936006,0.8352255599999999,46.540633540284006,,,,
2024_Both01_Both04_O37,214,7/24/24,2024,Both,01,Both,04,O,37,442.5,1200.5,NA,723,8122024,666.5,1826.6,NA,NA,698.3262,1053.0078,354.6816,502.17380000000003,773.5922,271.4184,0.765245223,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both04,0.719110639,Both01_Both04,NA,NA,35.542746738164006,199.77387720316005,2.0949785999999997,116.73688637753999,,,,
2024_Both01_Both04_O38,111,7/24/24,2024,Both,01,Both,04,O,38,101.7,244.1,NA,738,8122024,117,278.1,NA,NA,158.70348,182.9295,24.22602,85.39652,95.1705,9.77398,0.403449679,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both04,0.538088516,Both01_Both04,NA,NA,6.044176105325601,33.97228987,0.47611044,26.529937030116002,,,,
2024_Both01_Both05_O49,260,7/25/24,2024,Both,01,Both,05,O,49,245.8,588.3,NA,943,8122024,392.1,947.9,NA,NA,386.87142,618.52284,231.65142,201.42858,329.37716,127.94858,0.552332379,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both05,0.520660275,Both01_Both05,NA,NA,14.25666772,80.13195512415601,1.16061426,64.67201861,,,,
2024_Both01_Both05_O50,266,7/25/24,2024,Both,01,Both,05,O,50,272.3,662.2,NA,955,8122024,450,1063.9,NA,NA,428.83152,710.2017,281.37018,233.36848,353.6983,120.32982,0.427656619,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both05,0.544196192,Both01_Both05,NA,NA,16.517302936374403,92.83822865,1.28649456,71.68635005438401,,,,
