Vial_num,Linear corr d15N,wt %N,N_Notes,Linear corr d13C,wt %C,C_Notes,N_exclude,C_exclude
1,13.5,0.2,,-10.3,16.9,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
2,11.7,0.2,,-9.1,16.2,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
3,11.2,0.2,,-10.0,16.7,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
4,12.6,10.0,,-24.0,39.3,,,
5,12.5,10.1,,-23.8,41.6,,,
6,12.4,8.8,,-23.6,39.2,,,
7,12.7,7.0,,-25.7,49.1,,,
8,12.2,6.8,,-26.2,54.9,,,
9,12.5,7.3,,-26.2,52.8,,,
10,12.6,0.2,,-9.2,16.2,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
11,11.3,0.2,,-9.5,16.5,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
12,12.0,0.2,,-8.9,15.9,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
13,12.4,7.6,,-25.5,48.7,,,
14,10.2,5.6,small peak - error on δ15N will be higher,-26.8,59.6,,,
15,11.4,0.2,,-7.1,14.7,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
16,11.3,0.2,,-8.2,15.7,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
17,11.8,7.1,,-25.6,47.4,,,
18,11.9,7.0,small peak - error on δ15N will be higher,-26.0,49.9,,,
19,11.9,7.9,,-25.9,50.6,,,
20,11.7,0.2,,-9.4,16.5,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
21,8.3,0.3,,-7.0,14.9,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
22,10.3,0.2,,-7.5,15.4,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
23,12.2,9.5,,-24.1,41.4,,,
24,12.5,9.3,,-24.4,42.1,,,
25,8.8,4.3,very small peak - δ15N data unusable,-26.1,40.3,small peak - error on δ13C will be higher,Y,
26,10.2,0.1,small peak - error on δ15N will be higher,-11.4,18.1,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
27,12.2,0.2,,-8.1,15.6,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
28,11.9,0.2,,-12.2,18.8,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
29,12.5,8.8,,-24.2,39.9,,,
30,12.1,9.1,,-25.1,45.2,,,
31,12.0,9.0,,-25.3,46.9,,,
32,12.1,6.9,small peak - error on δ15N will be higher,-26.7,57.1,,,
33,12.4,6.8,,-26.1,51.4,,,
34,12.3,7.0,,-25.8,48.7,,,
35,12.0,5.5,small peak - error on δ15N will be higher,-24.8,37.7,,,
36,12.2,8.5,,-24.6,44.2,,,
37,9.9,4.0,very small peak - δ15N data unusable,-27.5,62.2,,Y,
38,11.8,0.2,,-10.0,17.1,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
39,11.6,0.2,,-10.3,17.2,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
40,10.7,0.2,,-8.9,16.2,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
41,12.0,0.2,,-9.3,16.5,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
42,11.8,0.2,,-10.4,17.3,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
43,10.7,0.2,,-7.5,15.3,"incorrect C dilution - peaks usable, but might consider rerunning to be sure",,
44,12.5,0.3,,-9.4,16.1,,,
45,11.9,0.2,,-9.5,16.2,,,
46,10.2,0.2,,-8.9,16.0,,,
47,11.8,9.0,,-24.7,43.9,,,
48,12.4,8.1,,-25.8,48.9,,,
49,12.1,9.1,,-24.6,41.7,,,
50,11.1,0.2,,-9.5,16.4,,,
51,12.5,0.2,,-7.7,15.3,,,
52,11.9,0.1,,-8.9,16.5,,,
53,11.4,5.2,small peak - error on δ15N will be higher,-25.4,56.6,,,
54,11.4,5.9,small peak - error on δ15N will be higher,-24.4,45.0,,,
55,12.1,9.2,,-24.0,39.0,,,
56,11.0,0.1,,-8.0,15.7,,,
57,11.5,0.2,,-9.2,16.5,,,
58,11.4,0.2,,-10.1,17.5,,,
59,12.2,8.9,,-24.6,43.9,,,
60,11.1,4.3,small peak - error on δ15N will be higher,-25.7,59.2,,,
61,11.4,5.9,small peak - error on δ15N will be higher,-25.3,54.5,,,
62,8.0,0.2,,-9.5,17.0,,,
63,10.8,0.2,,-9.3,16.7,,,
64,11.5,0.2,,-6.6,14.7,,,
65,12.4,9.6,,-24.1,40.7,,,
66,12.3,10.2,,-24.1,41.0,,,
67,12.1,10.1,,-24.4,41.4,,,
68,11.0,0.2,,-9.3,16.6,,,
69,11.3,0.2,,-8.8,16.1,,,
70,11.6,0.2,,-9.0,16.4,,,
71,11.2,0.2,,-8.5,15.9,,,
72,13.3,0.2,,-9.9,17.1,,,
73,10.4,0.2,,-9.1,16.6,,,
74,12.7,9.1,,-24.0,40.9,,,
75,12.9,10.2,,-24.1,43.4,,,
76,12.1,9.5,,-24.5,41.0,,,
77,12.4,9.7,,-23.6,40.1,,,
78,11.9,7.8,,-24.0,38.8,,,
79,12.0,8.3,,-24.7,44.3,,,
80,11.7,0.2,,-7.4,15.1,,,
81,11.6,0.2,,-7.7,15.4,,,
82,11.2,0.1,small peak - error on δ15N will be higher,-11.4,18.7,,,
83,10.6,0.2,,-8.9,16.3,,,
84,11.7,0.2,,-7.8,15.4,,,
85,12.5,0.3,,-9.3,16.3,,,
86,11.0,0.2,,-6.9,14.6,,,
87,10.5,0.2,,-8.8,16.2,,,
88,11.9,0.2,,-9.5,16.7,,,
89,12.1,8.2,,-24.4,44.6,,,
90,12.3,7.2,,-24.5,47.3,,,
91,12.5,8.6,,-24.1,41.8,,,
92,11.4,0.2,,-9.9,17.0,,,
93,12.4,8.9,,-23.8,37.9,,,
94,11.4,5.6,small peak - error on δ15N will be higher,-24.3,40.7,,,
95,12.7,8.8,,-23.3,38.1,,,
96,12.8,0.2,,-6.0,14.1,,,
97,3.3,0.4,,-9.2,16.9,,,
98,11.7,0.2,,-9.1,16.2,,,
99,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
100,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
101,12.4,9.5,,-24.5,44.9,,,
102,12.4,7.1,,-25.6,50.9,,,
103,12.6,8.3,,-25.3,49.5,,,
104,11.8,7.2,,-23.8,38.2,,,
105,12.6,8.0,,-24.5,43.3,,,
106,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
107,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
108,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
109,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
110,12.3,5.7,small peak - error on δ15N will be higher,-25.3,50.2,,,
111,11.7,6.5,,-25.1,48.5,,,
112,12.4,7.6,,-25.8,52.0,,,
113,12.2,6.4,,-25.9,52.6,,,
114,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
115,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
116,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
117,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
118,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
119,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
123,12.3,9.3,,-24.8,46.8,,,
124,11.8,7.7,,-25.6,51.9,,,
125,12.6,7.0,,-24.7,43.8,,,
126,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
127,13.6,0.2,,-6.3,14.7,,,
128,11.6,0.2,,-6.9,15.0,,,
129,12.0,0.2,,-7.4,15.3,,,
130,9.9,0.2,,-8.6,16.2,,,
131,10.8,0.2,,-6.8,14.9,,,
132,11.8,4.3,small peak - error on δ15N will be higher,-22.9,33.4,,,
133,12.3,7.0,,-25.2,48.0,,,
134,12.6,8.3,,-25.4,47.9,,,
135,11.4,0.2,,-6.9,15.0,,,
136,10.9,0.1,small peak - error on δ15N will be higher,-5.6,14.3,,,
137,11.4,0.1,small peak - error on δ15N will be higher,-7.8,15.7,,,
138,13.0,8.3,,-23.5,38.8,,,
139,12.1,7.6,,-25.4,49.2,,,
140,12.2,6.4,,-26.1,53.4,,,
141,12.0,8.0,,-25.3,45.4,,,
142,13.6,0.2,,-7.8,15.7,,,
143,12.4,9.6,,-24.7,44.4,,,
144,12.1,8.3,,-25.5,49.1,,,
145,12.0,8.2,,-25.7,49.6,,,
146,11.8,0.2,,-8.4,15.9,,,
147,11.9,0.2,,-8.1,15.9,,,
148,10.5,0.2,,-10.3,17.8,,,
149,12.6,7.8,,-24.6,41.1,,,
150,11.9,7.0,,-25.1,47.3,,,
151,11.4,0.2,,-7.9,15.8,,,
152,12.1,0.2,,-9.0,16.9,,,
153,12.0,0.2,,-8.0,15.9,,,
154,12.1,7.3,,-24.0,39.7,,,
155,12.4,6.7,,-23.5,36.9,,,
156,12.1,6.4,small peak - error on δ15N will be higher,-24.5,36.4,,,
157,10.6,0.2,,-7.0,15.3,,,
158,11.3,0.1,small peak - error on δ15N will be higher,-7.7,15.9,,,
159,9.1,0.2,,-7.3,15.4,,,
160,12.2,5.6,small peak - error on δ15N will be higher,-24.9,40.6,,,
161,11.9,7.2,,-23.8,39.6,,,
162,12.2,7.7,,-24.7,43.0,,,
163,12.0,0.2,,-6.9,15.1,,,
164,11.9,0.3,,-8.9,15.6,,,
165,12.6,0.4,,-7.5,15.6,,,
166,12.6,9.3,,-24.2,42.5,,,
167,11.9,6.7,,-24.3,37.9,,,
168,12.4,9.7,,-24.5,40.8,,,
169,11.5,6.2,small peak - error on δ15N will be higher,-21.9,31.2,,,
170,14.5,0.1,small peak - error on δ15N will be higher,-8.1,16.1,,,
171,11.8,0.2,,-6.3,14.5,,,
172,12.4,0.2,,-8.5,16.4,,,
173,11.8,0.2,,-11.1,18.9,,,
174,12.2,8.9,,-24.1,39.2,,,
175,12.4,10.2,,-24.3,42.3,,,
176,11.9,9.9,,-24.0,41.3,,,
177,11.3,0.2,,-6.6,14.8,,,
178,11.5,0.2,,-8.6,16.5,,,
179,12.4,0.2,,-10.2,18.0,,,
180,12.5,9.6,,-24.4,44.3,,,
181,12.3,6.1,small peak - error on δ15N will be higher,-25.5,57.8,,,
182,12.7,9.8,,-23.8,40.5,,,
183,14.6,0.2,,-7.6,15.8,,,
184,5.0,0.4,,-8.4,16.7,,,
185,12.2,0.3,,-9.5,17.3,,,
186,12.4,9.6,,-23.8,40.7,,,
187,11.5,7.1,,-23.6,41.5,,,
188,11.7,3.9,small peak - error on δ15N will be higher,-22.6,33.0,,,
189,8.6,0.3,,-9.5,17.5,,,
190,11.9,0.2,,-8.9,17.2,,,
191,12.7,0.2,,-7.3,15.6,,,
192,12.5,9.3,,-23.4,39.0,,,
193,12.1,7.8,,-22.5,35.1,,,
194,13.0,9.1,,-24.1,39.6,,,
195,12.3,0.1,,-6.3,14.8,,,
196,12.4,0.2,,-9.9,18.0,two samples in well B12 - possibly mixed up with 220,,
197,12.6,9.3,,-24.6,47.0,,,
198,12.6,10.1,,-23.5,40.0,,,
199,12.0,0.2,,-8.0,16.2,,,
200,11.5,0.2,,-8.7,16.9,,,
201,11.8,0.2,,-9.0,17.0,,,
202,12.4,9.3,,-23.6,38.5,,,
203,12.7,9.2,,-23.9,41.6,,,
204,12.2,8.3,,-24.0,43.3,,,
205,12.2,0.2,,-8.5,16.8,,,
206,16.3,0.2,,-7.6,15.9,,,
207,12.9,0.2,,-6.0,14.5,,,
208,13.2,5.8,small peak - error on δ15N will be higher,-24.8,50.6,,,
209,13.0,9.9,,-24.3,41.9,,,
210,12.8,9.8,,-24.1,40.5,,,
211,12.7,9.9,,-24.1,40.3,,,
212,12.3,9.4,,-23.8,39.2,,,
213,12.8,9.4,,-23.4,37.3,,,
214,13.3,0.2,,-9.3,16.9,,,
215,12.9,0.3,,-8.0,16.1,,,
216,12.4,0.3,,-9.3,17.1,,,
217,12.0,9.0,,-23.5,40.4,,,
218,12.5,9.3,,-24.2,40.9,,,
219,12.8,9.1,,-24.9,46.0,,,
220,10.4,0.2,,-7.3,15.7,two samples in well B12 - possibly mixed up with 196,,
221,12.2,0.2,,-6.8,15.0,,,
222,12.0,0.2,,-6.8,15.3,,,
223,12.4,9.1,,-24.3,42.7,,,
224,12.4,5.7,small peak - error on δ15N will be higher,-25.8,60.0,,,
225,12.3,6.6,,-24.6,47.2,,,
226,12.0,0.2,,-8.1,16.1,,,
227,11.9,0.2,,-7.0,15.2,,,
228,12.4,0.2,,-8.6,16.5,,,
229,9.4,0.3,,-9.9,17.8,,,
230,14.5,0.2,,-10.1,18.1,,,
231,12.8,8.5,,-24.0,40.3,,,
232,12.6,8.4,,-24.7,50.4,,,
233,12.5,0.2,,-5.3,14.5,,,
234,11.6,0.2,,-9.1,17.0,,,
235,4.4,0.3,,-9.1,17.3,,,
236,12.7,10.1,,-23.7,39.4,,,
237,12.1,9.7,,-23.9,40.0,,,
238,10.8,0.3,,-7.6,15.9,,,
239,13.0,0.3,,-9.3,17.2,,,
240,12.5,0.2,,-6.1,14.8,,,
241,12.2,6.9,,-22.5,33.0,,,
242,12.1,8.3,,-23.4,35.6,,,
243,12.2,8.3,,-23.9,35.0,,,
244,12.6,0.2,,-8.4,16.5,,,
245,12.7,10.5,,-24.3,42.5,,,
246,12.5,0.2,,-8.2,16.2,,,
247,11.8,0.2,,-7.0,15.4,,,
248,12.5,0.3,,-7.1,15.2,,,
249,12.2,10.0,,-24.4,45.5,,,
250,12.0,7.1,small peak - error on δ15N will be higher,-22.9,35.4,,,
251,12.3,10.3,,-24.0,42.0,,,
252,12.3,0.2,,-7.3,15.5,,,
253,12.6,8.1,,-24.8,46.7,,,
254,12.8,0.2,,-7.8,16.1,,,
255,7.0,0.3,,-10.0,18.1,,,
256,12.2,0.2,,-8.0,16.2,,,
257,13.3,7.4,small peak - error on δ15N will be higher,-25.1,51.5,,,
258,12.3,9.1,,-24.3,43.3,,,
259,12.2,8.0,,-22.6,34.8,,,
260,10.9,0.2,,-8.0,16.2,,,
261,11.7,0.2,,-9.6,17.4,,,
262,12.2,0.2,,-7.3,15.7,,,
263,12.3,10.0,,-24.4,43.3,,,
264,11.8,8.8,,-23.6,39.3,,,
265,12.0,9.8,,-24.4,43.4,,,
266,11.3,0.2,,-8.0,16.2,,,
267,11.3,0.2,,-7.6,15.8,,,
268,11.8,0.2,,-8.8,16.8,,,
269,12.0,8.7,,-23.8,40.6,,,
270,12.3,9.6,,-24.1,40.7,,,
271,12.2,10.5,,-24.4,43.8,,,
272,12.4,0.2,,-8.9,16.9,,,
273,12.0,10.1,,-24.2,43.2,,,
274,12.5,0.2,,-8.5,16.5,,,
275,10.1,0.3,,-8.3,16.3,,,
276,13.8,0.3,,-8.3,16.1,,,
277,12.5,9.7,,-23.9,41.5,,,
278,12.5,9.1,,-25.0,46.1,,,
279,12.4,10.1,,-24.1,42.9,,,
280,3.2,0.6,,-10.9,19.0,,,
281,13.2,0.3,,-9.6,17.5,,,
282,12.8,0.2,,-8.3,16.5,,,
283,12.6,0.2,,-8.5,16.5,,,
284,12.6,10.0,,-23.4,40.3,,,
285,12.1,6.8,,-24.4,42.4,,,
286,12.5,9.7,,-23.6,40.0,,,
287,12.3,0.2,,-7.1,15.3,,,
288,13.0,0.2,,-9.3,17.2,,,
289,12.4,0.3,,-8.6,16.6,,,
290,12.2,9.4,,-23.8,41.7,,,
291,12.2,9.2,,-24.6,48.0,,,
292,12.3,9.7,,-23.2,39.2,,,
293,10.3,0.2,,-8.6,16.6,,,
294,12.2,0.2,,-8.6,16.8,,,
295,12.4,7.4,,-25.4,55.5,,,
296,11.8,7.2,,-25.1,52.4,,,
297,9.8,0.3,,-7.9,15.9,,,
298,12.0,0.1,small peak - error on δ15N will be higher,-6.1,14.4,,,
299,12.4,9.3,,-23.7,38.8,,,
300,12.6,9.0,,-23.4,37.3,,,
301,14.7,0.2,,-5.5,14.3,,,
302,9.7,0.2,,-7.8,16.1,,,
303,11.8,0.2,,-8.3,16.4,,,
304,11.1,0.2,,-6.9,15.3,,,
305,11.6,0.2,,-7.6,16.0,,,
306,12.1,0.2,,-8.6,16.6,,,
307,11.8,0.2,,-10.5,18.1,,,
308,11.4,0.2,,-7.6,15.7,,,
309,12.0,8.1,,-23.4,36.2,,,
310,13.0,7.5,,-25.6,50.7,,,
311,12.2,6.2,small peak - error on δ15N will be higher,-25.1,46.2,,,
312,12.4,8.6,,-24.7,42.9,,,
313,12.3,8.8,,-25.4,50.7,,,
314,12.4,9.2,,-23.8,38.9,,,
315,12.2,8.7,,-24.9,46.8,,,
316,12.0,5.6,small peak - error on δ15N will be higher,-25.2,45.8,,,
317,11.1,0.2,,-7.7,15.7,,,
318,11.2,0.2,,-9.4,17.0,,,
319,11.3,0.2,,-6.9,15.1,,,
320,12.2,8.0,,-24.4,39.9,,,
321,12.3,8.8,,-24.7,42.8,,,
322,11.9,6.1,small peak - error on δ15N will be higher,-24.0,39.1,,,
323,11.2,0.2,,-9.8,17.3,,,
324,12.0,9.0,,-24.4,41.2,,,
325,13.0,0.2,,-7.6,15.8,,,
326,12.1,0.3,,-9.0,16.9,,,
327,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
328,12.2,8.5,,-24.4,44.8,,,
329,12.9,8.7,,-24.0,41.2,,,
330,12.4,8.0,,-25.6,49.4,,,
331,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
332,12.7,10.0,,-24.2,43.1,,,
333,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
334,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
335,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
336,12.1,8.1,,-23.6,37.7,,,
337,12.2,8.8,,-23.6,38.7,,,
338,12.5,5.5,small peak - error on δ15N will be higher,-22.7,34.8,,,
339,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
340,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
341,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
342,12.8,9.5,,-24.1,40.1,,,
343,12.5,9.7,,-23.7,39.9,,,
344,12.5,9.1,,-24.2,41.6,,,
345,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
346,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
347,11.8,7.9,,-23.8,39.9,,,
348,11.9,9.7,,-24.3,41.6,,,
349,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
350,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
351,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
352,11.9,6.2,small peak - error on δ15N will be higher,-23.5,36.6,,,
353,12.7,8.1,,-25.4,49.0,,,
354,12.8,9.0,,-24.2,39.7,,,
355,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
356,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
357,reduction column issues - peaks not usable,,,reduction column issues - peaks not usable,,,Y,Y
358,12.3,6.8,small peak - error on δ15N will be higher,-24.7,48.8,,,
359,12.0,7.8,,-24.9,44.7,,,
360,14.4,0.2,,-7.7,15.6,,,
361,11.1,0.2,,-9.3,17.0,,,
362,12.4,8.5,,-25.0,44.6,,,
