Sample_Name,Order_pre,Date_MMDDYYYY_year2,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Submerged_weight_year2,Dry_weight_year2,double_single_dead_year2,Notes_year2,Actual_shell_year2_mg,Actual_shell_growth_year2_mg,Actual_tissue_year2_mg,Actual_tissue_growth_year2_mg,Ratio_tissue_shell_year2_mg,Phase_1_temp,Phase_1_DO,Phase_2.1_temp,Phase_2.1_DO,Phase1_Phase2_treat,Phase_1_rep_R,Phase_2_rep_R,Exclude_year2
,1,08272025,2025,,,Cont,01,B,11,,,Dead,Dead,,,,,,,,,,,,,Y
,2,08272025,2025,,,Cont,01,G,11,1333.8,2933.0,,,,,,,,,,,,,,,
,3,08272025,2025,,,Cont,01,B,12,1002.3,2272.8,,,,,,,,,,,,,,,
,4,08272025,2025,,,Cont,01,O,6,,,Dead,Dead,,,,,,,,,,,,,
,5,08272025,2025,,,Cont,01,O,2,,,Dead,Dead,,,,,,,,,,,,,
,6,08272025,2025,,,Cont,01,NA,NA,,,Dead,Dead,,,,,,,,,,,,,
,7,08272025,2025,,,Cont,01,W,6,,,Dead,Dead,,,,,,,,,,,,,
,8,08272025,2025,,,Cont,01,W,8,,,Dead,Dead,,,,,,,,,,,,,
,9,08272025,2025,,,Cont,01,O,12,,,Dead,Dead,,,,,,,,,,,,,
,10,08272025,2025,,,Cont,01,W,12,,,Dead,Dead,,,,,,,,,,,,,
,11,08272025,2025,,,Cont,01,G,10,,,Dead,Dead,,,,,,,,,,,,,
,12,08272025,2025,,,Cont,01,B,1,,,Dead,Dead,,,,,,,,,,,,,
,13,08272025,2025,,,Cont,01,G,5,,,Dead,Dead,,,,,,,,,,,,,
,14,08272025,2025,,,Cont,01,W,5,,,Dead,Dead,,,,,,,,,,,,,
,15,08272025,2025,,,Cont,01,G,3,,,Dead,Dead,,,,,,,,,,,,,
,16,08272025,2025,,,Cont,01,W,7,,,Dead,Dead,,,,,,,,,,,,,
,17,08272025,2025,,,Cont,01,O,11,,,Dead,Dead,,,,,,,,,,,,,
,18,08272025,2025,,,Cont,01,W,11,,,Dead,Dead,,,,,,,,,,,,,
,19,08272025,2025,,,Cont,01,G,4,,,Dead,Dead,,,,,,,,,,,,,
,20,08272025,2025,,,Cont,01,NA,NA,,,Dead,Dead,,,,,,,,,,,,,
,21,08272025,2025,,,Cont,01,B,10,,,Dead,Dead,,,,,,,,,,,,,
,22,08272025,2025,,,Cont,01,O,4,,,Dead,Dead,,,,,,,,,,,,,
,23,08272025,2025,,,Cont,01,B,9,,,Dead,Dead,,,,,,,,,,,,,
,24,08272025,2025,,,Cont,01,O,3,,,Dead,Dead,,,,,,,,,,,,,
,25,08272025,2025,,,Warm,01,O,7,1064.2,2567.1,,,,,,,,,,,,,,,
,26,08272025,2025,,,Warm,01,G,11,1709.9,3890.1,,Piece of shell came off,,,,,,,,,,,,,
,27,08272025,2025,,,Warm,01,O,10,326.1,757.7,,,,,,,,,,,,,,,
,28,08272025,2025,,,Warm,01,B,9,1501.3,4220.0,,pulled off sea squirt,,,,,,,,,,,,,
,29,08272025,2025,,,Warm,01,G,8,773.2,2026.6,,,,,,,,,,,,,,,
,30,08272025,2025,,,Warm,01,G,5,972.9,2413.7,,,,,,,,,,,,,,,
,31,08272025,2025,,,Warm,01,B,3,617.4,1436.3,,,,,,,,,,,,,,,
,32,08272025,2025,,,Warm,01,NA,NA,1478.9,3629.4,,"tube worm on it, found W2 tag in meso",,,,,,,,,,,,,
,33,08272025,2025,,,Warm,01,W,11,2977.7,7436.0,,,,,,,,,,,,,,,
,34,08272025,2025,,,Warm,01,G,10,352.7,826.9,,,,,,,,,,,,,,,
,35,08272025,2025,,,Warm,01,B,5,1491.0,3784.0,,,,,,,,,,,,,,,
,36,08272025,2025,,,Warm,01,O,11,840.3,2089.4,,,,,,,,,,,,,,,
,37,08272025,2025,,,Warm,01,W,4,702.2,1692.6,,,,,,,,,,,,,,,
,38,08272025,2025,,,Warm,01,G,12,1570.8,4269.4,,,,,,,,,,,,,,,
