"Sample_Name","Phase_1_DO","Phase_1_temp","Phase_2.1_DO","Phase_2.1_temp","Phase_1_treat","Phase_2_treat","Phase_1_rep_R","Phase_2_rep_R","Actual_shell_pre_mg","Actual_tissue_pre_mg","Actual_shell_post_mg","Actual_tissue_post_mg","Actual_shell_growth_mg","Actual_tissue_growth_mg","Exclude_all","Exclude_pre_analysis","Notes_pre","Notes_post","Area_pre_mm2","Feret_pre_mm","AreaNotes_Pre","Area_post_mm2","Feret_post_mm","AreaNotes_Post","Area_growth_mm2","Feret_growth_mm"
"2024_Both01_Both01_O1","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both01",331.29408,299.00592,541.5696,419.7304,210.27552,120.72448,NA,NA,NA,NA,256.9,21.5,NA,395.4,25.6,NA,138.5,4.1
"2024_Both01_Both01_O2","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both01",344.27796,221.22204,613.29762,293.80238,269.01966,72.58034,NA,NA,NA,NA,194.5,17.9,NA,282.4,21.9,NA,87.9,4
"2024_Both01_Both02_O13","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both02",308.17644,249.12356,727.14408,373.35592,418.96764,124.23236,NA,NA,NA,NA,270.9,21.8,NA,363.4,26.3,NA,92.5,4.5
"2024_Both01_Both02_O14","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both02",370.08738,217.91262,655.41606,366.88394,285.32868,148.97132,NA,NA,NA,NA,247.7,20.2,NA,313.8,23.2,NA,66.1,3
"2024_Both01_Both03_O25","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both03",117.85176,91.04824,193.69662,111.70338,75.84486,20.65514,NA,NA,NA,NA,84.6,11.8,NA,110.2,13.3,NA,25.6,1.5
"2024_Both01_Both03_O26","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both03",278.40852,155.89148,460.49952,200.20048,182.091,44.309,NA,NA,NA,NA,158.6,16.4,NA,234.2,20.7,NA,75.6,4.3
"2024_Both01_Both04_O37","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both04",698.3262,502.1738,1053.0078,773.5922,354.6816,271.4184,NA,NA,NA,NA,368.5,24.7,NA,488,29.1,NA,119.5,4.4
"2024_Both01_Both04_O38","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both04",158.70348,85.39652,182.9295,95.1705,24.22602,9.77398,NA,NA,NA,NA,111,13.5,NA,119,15,NA,8,1.5
"2024_Both01_Both05_O49","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both05",386.87142,201.42858,618.52284,329.37716,231.65142,127.94858,NA,NA,NA,NA,227.9,20.3,NA,319.3,24.2,NA,91.4,3.9
"2024_Both01_Both05_O50","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both05",428.83152,233.36848,710.2017,353.6983,281.37018,120.32982,NA,NA,NA,NA,265.1,19.9,NA,325.9,22.3,NA,60.8,2.4
"2024_Both01_Both06_O61","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both06",135.58584,95.01416,291.23406,196.26594,155.64822,101.25178,NA,NA,NA,NA,109.2,15,NA,167.1,18.9,NA,57.9,3.9
"2024_Both01_Both06_O62","Hyp","Warm","Hyp","Warm","Both","Both","Both01","Both06",556.92858,272.87142,1008.6726,339.5274,451.74402,66.65598,NA,NA,NA,NA,270,21.8,NA,331.1,23.8,NA,61.1,2
"2024_Both01_Cont01_O1","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont01",477.91692,305.28308,1042.87404,651.12596,564.95712,345.84288,NA,NA,NA,NA,243.4,21.2,NA,411.9,28.2,NA,168.5,7
"2024_Both01_Cont01_O2","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont01",185.14626,127.45374,448.78236,227.81764,263.6361,100.3639,NA,NA,NA,NA,111.8,13,NA,237.6,19.3,NA,125.8,6.3
"2024_Both01_Cont02_O13","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont02",622.16466,378.13534,1141.36152,472.43848,519.19686,94.30314,NA,NA,NA,NA,324,25.5,"6/26/25 SKM Manually calculated pre phase 2 data from remeasuring scales and converting from pixels, had to export as jpg, hoping this did not affect scale at all",440.8,26.8,NA,116.8,1.3
"2024_Both01_Cont02_O14","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont02",1263.75834,948.74166,1799.89758,1217.60242,536.13924,268.86076,NA,NA,NA,NA,512.2,35.3,NA,597.3,33.9,NA,85.0999999999999,-1.4
"2024_Both01_Cont03_O25","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont03",251.49072,146.50928,570.8625,396.6375,319.37178,250.12822,NA,NA,NA,NA,177.4,18.4,NA,307.2,25.1,NA,129.8,6.7
