Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes_post,Displacement368.7,Tag,CondRepl,Shell#,Area_post_mm2,Feret_post_mm,AreaNotes_Post,,,,,,,,,,,,,,,,,,,,,,,
192,8122024,2024,Hyp,1,Both,1,B,1,2024_Hyp01_Both01_B1,281.6,650.3,,Extra untagged oyster-- we checked before. Was this a double?,368.7,B1,Both1,23,213.7,19.5,,,,,,,,,,,,,,,,,,,,,,,,
39,8122024,2024,Hyp,1,Cont,1,B,1,2024_Hyp01_Cont01_B1,575.6,1218.6,,,643,B1,Cont1,15,278.7,22.5,,,,,,,,,,,,,,,,,,,,,,,,
50,8122024,2024,Hyp,1,Hyp,1,B,1,2024_Hyp01_Hyp01_B1,397.4,1029.6,,,632.2,B1,Hyp1,2,418.7,25.1,,,,,,,,,,,,,,,,,,,,,,,,
108,8122024,2024,Hyp,1,Warm,1,B,1,2024_Hyp01_Warm01_B1,326.9,914.8,,,587.9,B1,Warm1,5,268.5,23.9,,,,,,,,,,,,,,,,,,,,,,,,
165,8122024,2024,Hyp,5,Both,1,B,10,2024_Hyp05_Both01_B10,220.5,568.3,,,347.8,B10,Both1,15,233.7,21.6,,,,,,,,,,,,,,,,,,,,,,,,
35,8122024,2024,Hyp,5,Cont,1,B,10,2024_Hyp05_Cont01_B10,350.9,884,,,533.1,B10,Cont1,11,291.1,20.9,,,,,,,,,,,,,,,,,,,,,,,,
94,8122024,2024,Hyp,5,Hyp,1,B,10,2024_Hyp05_Hyp01_B10,157,389,,,232,B10,Hyp1,21,129.2,15.5,,,,,,,,,,,,,,,,,,,,,,,,
115,8122024,2024,Hyp,5,Warm,1,B,10,2024_Hyp05_Warm01_B10,246,629.8,,,383.8,B10,Warm1,9,248.8,21,,,,,,,,,,,,,,,,,,,,,,,,
172,8122024,2024,Hyp,6,Both,1,B,11,2024_Hyp06_Both01_B11,147.1,361.3,,,214.2,B11,Both1,4,156.3,16.5,,,,,,,,,,,,,,,,,,,,,,,,
46,8122024,2024,Hyp,6,Cont,1,B,11,2024_Hyp06_Cont01_B11,428.4,1183.2,,,754.8,B11,Cont1,19,380.4,28.4,,,,,,,,,,,,,,,,,,,,,,,,
90,8122024,2024,Hyp,6,Hyp,1,B,11,2024_Hyp06_Hyp01_B11,311.2,722.9,,,411.7,B11,Hyp1,23,250.2,20.9,,,,,,,,,,,,,,,,,,,,,,,,
121,8122024,2024,Hyp,6,Warm,1,B,11,2024_Hyp06_Warm01_B11,523.9,1430.3,,,906.4,B11,Warm1,2,502.4,29.4,,,,,,,,,,,,,,,,,,,,,,,,
190,8122024,2024,Hyp,6,Both,1,B,12,2024_Hyp06_Both01_B12,362,950.2,,,588.2,B12,Both1,18,273.6,22.4,,,,,,,,,,,,,,,,,,,,,,,,
43,8122024,2024,Hyp,6,Cont,1,B,12,2024_Hyp06_Cont01_B12,458.9,1081.9,,,623,B12,Cont1,20,299.2,21.6,,,,,,,,,,,,,,,,,,,,,,,,
70,8122024,2024,Hyp,6,Hyp,1,B,12,2024_Hyp06_Hyp01_B12,709.1,1666,,,956.9,B12,Hyp1,10,412.3,29.4,,,,,,,,,,,,,,,,,,,,,,,,
141,8122024,2024,Hyp,6,Warm,1,B,12,2024_Hyp06_Warm01_B12,213.9,517.3,,,303.4,B12,Warm1,20,223.2,19.5,,,,,,,,,,,,,,,,,,,,,,,,
343,8122024,2024,Hyp,1,Both,2,B,13,2024_Hyp01_Both02_B13,243.2,612.7,,,369.5,B13,Both2,4,237.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,
195,8122024,2024,Hyp,1,Cont,2,B,13,2024_Hyp01_Cont02_B13,479.2,1041.3,,,562.1,B13,Cont2,8,244.1,20.6,,,,,,,,,,,,,,,,,,,,,,,,
299,8122024,2024,Hyp,1,Hyp,2,B,13,2024_Hyp01_Hyp02_B13,1095.4,2765.4,,wet when dry weighing,1670,B13,Hyp2,2,621.6,37.9,,,,,,,,,,,,,,,,,,,,,,,,
261,8122024,2024,Hyp,1,Warm,2,B,13,2024_Hyp01_Warm02_B13,281.2,617.9,,,336.7,B13,Warm2,14,174.7,17,,,,,,,,,,,,,,,,,,,,,,,,
350,8122024,2024,Hyp,1,Both,2,B,14,2024_Hyp01_Both02_B14,465,1101.7,,,636.7,B14,Both2,3,301.4,22.5,,,,,,,,,,,,,,,,,,,,,,,,
201,8122024,2024,Hyp,1,Cont,2,B,14,2024_Hyp01_Cont02_B14,580.2,1513.7,,,933.5,B14,Cont2,4,415.5,28,,,,,,,,,,,,,,,,,,,,,,,,
325,8122024,2024,Hyp,1,Hyp,2,B,14,2024_Hyp01_Hyp02_B14,528.9,1392.9,,,864,B14,Hyp2,13,328.5,25.6,,,,,,,,,,,,,,,,,,,,,,,,
278,8122024,2024,Hyp,1,Warm,2,B,14,2024_Hyp01_Warm02_B14,300,802.6,,,502.6,B14,Warm2,14,277.2,22.4,,,,,,,,,,,,,,,,,,,,,,,,
366,8122024,2024,Hyp,2,Both,2,B,15,2024_Hyp02_Both02_B15,1011.6,3158.1,,,2146.5,B15,Both2,8,551.5,31.2,,,,,,,,,,,,,,,,,,,,,,,,
223,8122024,2024,Hyp,2,Cont,2,B,15,2024_Hyp02_Cont02_B15,542.9,1293.7,,,750.8,B15,Cont2,2,400.9,27.1,,,,,,,,,,,,,,,,,,,,,,,,
328,8122024,2024,Hyp,2,Hyp,2,B,15,2024_Hyp02_Hyp02_B15,208.1,518.2,,,310.1,B15,Hyp2,10,210,18.1,,,,,,,,,,,,,,,,,,,,,,,,
252,8122024,2024,Hyp,2,Warm,2,B,15,2024_Hyp02_Warm02_B15,718.8,1641.8,,,923,B15,Warm2,1,405.8,28.2,,,,,,,,,,,,,,,,,,,,,,,,
381,8122024,2024,Hyp,2,Both,2,B,16,2024_Hyp02_Both02_B16,858.4,2284.7,,,1426.3,B16,Both2,20,637.4,36,,,,,,,,,,,,,,,,,,,,,,,,
