,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,Tag,P2Treatment,Shell#,Area_pre_mm2,Feret_pre_mm,NotesShell_Pre
2,7/23/24,2024,Hyp,1,Both,1,B,1,2024_Hyp01_Both01_B1,196.3,467.9,,B1,Both1,36,175.1,17.3,
431,7/23/24,2024,Hyp,1,Cont,1,B,1,2024_Hyp01_Cont01_B1,278.9,719.7,,B1,Cont1,31,210.8,18.7,
777,7/23/24,2024,Hyp,1,Hyp,1,B,1,2024_Hyp01_Hyp01_B1,190.5,532.9,,B1,Hyp1,37,273.1,20.9,
1146,7/23/24,2024,Hyp,1,Warm,1,B,1,2024_Hyp01_Warm01_B1,236.6,657.8,,B1,Warm1,11,223,19.3,
37,7/23/24,2024,Hyp,5,Both,1,B,10,2024_Hyp05_Both01_B10,114.4,288,,B10,Both1,23,132.8,14.4,
468,7/23/24,2024,Hyp,5,Cont,1,B,10,2024_Hyp05_Cont01_B10,214.1,515.3,,B10,Cont1,32,156.9,15,
813,7/23/24,2024,Hyp,5,Hyp,1,B,10,2024_Hyp05_Hyp01_B10,76.2,191.6,,B10,Hyp1,48,71,11.4,
324,7/23/24,2024,Hyp,5,Warm,1,B,10,2024_Hyp05_Warm01_B10,137.5,382.6,,B10,Warm1,17,191.8,18.4,
41,7/23/24,2024,Hyp,6,Both,1,B,11,2024_Hyp06_Both01_B11,89.3,229.5,,B11,Both1,26,104.9,13.4,
470,7/23/24,2024,Hyp,6,Cont,1,B,11,2024_Hyp06_Cont01_B11,168.9,505.1,,B11,Cont1,19,203.2,18.7,
818,7/23/24,2024,Hyp,6,Hyp,1,B,11,2024_Hyp06_Hyp01_B11,270.4,662.1,,B11,Hyp1,31,229,19.9,
1185,7/23/24,2024,Hyp,6,Warm,1,B,11,2024_Hyp06_Warm01_B11,304.3,858.2,,B11,Warm1,42,375.9,26.3,
47,7/23/24,2024,Hyp,6,Both,1,B,12,2024_Hyp06_Both01_B12,201.2,609.7,,B12,Both1,34,239.2,20.2,
477,7/23/24,2024,Hyp,6,Cont,1,B,12,2024_Hyp06_Cont01_B12,289.9,712.5,,B12,Cont1,18,174.7,16.9,
824,7/23/24,2024,Hyp,6,Hyp,1,B,12,2024_Hyp06_Hyp01_B12,355,845.8,,B12,Hyp1,7,272.5,21.7,
106,7/23/24,2024,Hyp,6,Warm,1,B,12,2024_Hyp06_Warm01_B12,98.3,239,,B12,Warm1,37,135.6,15.2,
49,7/23/24,2024,Hyp,1,Both,2,B,13,2024_Hyp01_Both02_B13,132.4,377,,B13,Both2,29,202,19.3,
479,7/23/24,2024,Hyp,1,Cont,2,B,13,2024_Hyp01_Cont02_B13,383.9,884.4,,B13,Cont2,40,199.9,22.7,
828,7/23/24,2024,Hyp,1,Hyp,2,B,13,2024_Hyp01_Hyp02_B13,822.9,2260.6,,B13,Hyp2,26,632.3,36.1,
173,7/23/24,2024,Hyp,1,Warm,2,B,13,2024_Hyp01_Warm02_B13,128.6,313.2,,B13,Warm2,35,111.1,13.9,
56,7/23/24,2024,Hyp,1,Both,2,B,14,2024_Hyp01_Both02_B14,238,619.7,,B14,Both2,2,289.2,21.2,
482,7/23/24,2024,Hyp,1,Cont,2,B,14,2024_Hyp01_Cont02_B14,391.3,1106.4,,B14,Cont2,37,342.9,25.5,
829,7/23/24,2024,Hyp,1,Hyp,2,B,14,2024_Hyp01_Hyp02_B14,285.1,866.2,,B14,Hyp2,10,337.9,24.4,
364,7/23/24,2024,Hyp,1,Warm,2,B,14,2024_Hyp01_Warm02_B14,134.1,403.1,,B14,Warm2,23,181.2,17,
60,7/23/24,2024,Hyp,2,Both,2,B,15,2024_Hyp02_Both02_B15,634.1,1960.3,,B15,Both2,1,743.4,36.3,
487,7/23/24,2024,Hyp,2,Cont,2,B,15,2024_Hyp02_Cont02_B15,252.2,682,,B15,Cont2,45,318.9,23.1,
833,7/23/24,2024,Hyp,2,Hyp,2,B,15,2024_Hyp02_Hyp02_B15,117.8,360.3,,B15,Hyp2,36,198.1,17.4,
1203,7/23/24,2024,Hyp,2,Warm,2,B,15,2024_Hyp02_Warm02_B15,469.6,1168.9,,B15,Warm2,15,374.4,27.4,
64,7/23/24,2024,Hyp,2,Both,2,B,16,2024_Hyp02_Both02_B16,565.6,1613.7,,B16,Both2,31,553.1,32.1,
491,7/23/24,2024,Hyp,2,Cont,2,B,16,2024_Hyp02_Cont02_B16,323.3,862.2,,B16,Cont2,20,282.8,21.4,
840,7/23/24,2024,Hyp,2,Hyp,2,B,16,2024_Hyp02_Hyp02_B16,342,910.9,,B16,Hyp2,5,383.9,24,
