Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes
1,6262024,2024,Both,01,Null,NA,O,1,2024_Both01_Null_O1,47.6,119.3,single,
2,6262024,2024,Both,01,Null,NA,O,2,2024_Both01_Null_O2,67.6,180.3,double,
3,6262024,2024,Both,01,Null,NA,O,3,2024_Both01_Null_O3,75.7,178.5,single,
4,6262024,2024,Both,01,Null,NA,O,4,2024_Both01_Null_O4,142.8,438.9,double,
5,6262024,2024,Both,01,Null,NA,O,5,2024_Both01_Null_O5,7.3,12.8,dead,
6,6262024,2024,Both,01,Null,NA,O,6,2024_Both01_Null_O6,154.1,415.1,double,
7,6262024,2024,Both,01,Null,NA,O,7,2024_Both01_Null_O7,55.4,136.6,single?,
8,6262024,2024,Both,01,Null,NA,O,98,2024_Both1_Null_O98,85.8,221.5,double,subbed in for #8 before phase 1
9,6262024,2024,Both,02,Null,NA,O,9,2024_Both02_Null_O9,21.1,55.8,single,
10,6262024,2024,Both,02,Null,NA,O,10,2024_Both02_Null_O10,197.5,498.2,double,"O10 and O15 are suspected to have their dry weights switched - a plot shows these 2 points as outliers with the current dry weights that they have, 9/11/23 we switched the two submerged weights to match what we believe is the actual value after looking at the data sheets and the photos"
11,6262024,2024,Both,02,Null,NA,O,11,2024_Both02_Null_O11,63.2,158.1,single,
12,6262024,2024,Both,02,Null,NA,O,12,2024_Both02_Null_O12,122.8,311.9,single,
13,6262024,2024,Both,02,Null,NA,O,13,2024_Both02_Null_O13,191.2,556.4,triple,
14,6262024,2024,Both,02,Null,NA,O,14,2024_Both02_Null_O14,277,755.5,double,
15,6262024,2024,Both,02,Null,NA,O,15,2024_Both02_Null_O15,70.1,207.7,double,"O10 and O15 are suspected to have their dry weights switched - a plot shows these 2 points as outliers with the current dry weights that they have, 9/11/23 we switched the two submerged weights to match what we believe is the actual value after looking at the photos and data sheets"
16,6262024,2024,Both,02,Null,NA,O,16,2024_Both02_Null_O16,132.1,378,double,
17,6262024,2024,Both,03,Null,NA,O,17,2024_Both03_Null_O17,199.4,552.3,double,
18,6262024,2024,Both,03,Null,NA,O,18,2024_Both03_Null_O18,96.1,287.6,double,
19,6262024,2024,Both,03,Null,NA,O,19,2024_Both03_Null_O19,200.6,522.2,double,
20,6262024,2024,Both,03,Null,NA,O,20,2024_Both03_Null_O20,119,300.4,double,
21,6262024,2024,Both,03,Null,NA,O,21,2024_Both03_Null_O21,68,208.7,double,
22,6262024,2024,Both,03,Null,NA,O,22,2024_Both03_Null_O22,88.2,252.7,double,
23,6262024,2024,Both,03,Null,NA,O,23,2024_Both03_Null_O23,78.6,193.2,double,
24,6262024,2024,Both,03,Null,NA,O,24,2024_Both03_Null_O24,111.7,317.9,double,
25,6262024,2024,Both,04,Null,NA,O,25,2024_Both04_Null_O25,33,85.3,double,
26,6262024,2024,Both,04,Null,NA,O,26,2024_Both04_Null_O26,308.8,733,double,
27,6262024,2024,Both,04,Null,NA,O,27,2024_Both04_Null_O27,61.9,158.5,double,
28,6262024,2024,Both,04,Null,NA,O,28,2024_Both04_Null_O28,102.3,286.3,double,
29,6262024,2024,Both,04,Null,NA,O,29,2024_Both04_Null_O29,43.6,124.6,double,
30,6262024,2024,Both,04,Null,NA,O,30,2024_Both04_Null_O30,134.4,393.3,double,
31,6262024,2024,Both,04,Null,NA,O,31,2024_Both04_Null_O31,24.6,44.6,dead,
32,6262024,2024,Both,04,Null,NA,O,32,2024_Both04_Null_O32,125.6,368.1,single,
33,6262024,2024,Both,05,Null,NA,O,33,2024_Both05_Null_O33,257.4,685.3,double,
34,6262024,2024,Both,05,Null,NA,O,34,2024_Both05_Null_O34,4.7,13.2,dead,
35,6262024,2024,Both,05,Null,NA,O,35,2024_Both05_Null_O35,233.4,654.4,triple,
36,6262024,2024,Both,05,Null,NA,O,36,2024_Both05_Null_O36,55.1,150.1,single,
37,6262024,2024,Both,05,Null,NA,O,37,2024_Both05_Null_O37,16.8,32.4,dead,
38,6262024,2024,Both,05,Null,NA,O,38,2024_Both05_Null_O38,143.8,379.4,double,
39,6262024,2024,Both,05,Null,NA,O,39,2024_Both05_Null_O39,160.6,459.1,triple,
40,6262024,2024,Both,05,Null,NA,O,40,2024_Both05_Null_O40,79.2,205,double,
41,6262024,2024,Both,06,Null,NA,O,41,2024_Both06_Null_O41,215.8,607.4,double,
42,6262024,2024,Both,06,Null,NA,O,42,2024_Both06_Null_O42,148.4,439.4,double,
43,6262024,2024,Both,06,Null,NA,O,43,2024_Both06_Null_O43,140.5,390.4,double,
44,6262024,2024,Both,06,Null,NA,O,44,2024_Both06_Null_O44,152.7,428.9,double,
45,6262024,2024,Both,06,Null,NA,O,45,2024_Both06_Null_O45,138.7,407.2,double,
