Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes
1,5312024,2024,Hyp,01,null,null,B,1,2024_Hyp01_Null_B1,37.3,113.7,
2,5312024,2024,Hyp,01,null,null,B,2,2024_Hyp01_Null_B2,29.4,95.4,
3,5312024,2024,Hyp,01,null,null,B,3,2024_Hyp01_Null_B3,40.5,99.3,
4,5312024,2024,Hyp,01,null,null,B,4,2024_Hyp01_Null_B4,46.3,136.3,
5,5312024,2024,Hyp,01,null,null,B,5,2024_Hyp01_Null_B5,20.6,58,
6,5312024,2024,Hyp,01,null,null,B,6,2024_Hyp01_Null_B6,26,87.2,
7,5312024,2024,Hyp,01,null,null,B,7,2024_Hyp01_Null_B7,36.3,105.1,
8,5312024,2024,Hyp,01,null,null,B,8,2024_Hyp01_Null_B8,25.2,62.7,
9,5312024,2024,Hyp,02,null,null,B,9,2024_Hyp02_Null_B9,54.5,160.9,
10,5312024,2024,Hyp,02,null,null,B,10,2024_Hyp02_Null_B10,45.7,138.5,
11,5312024,2024,Hyp,02,null,null,B,11,2024_Hyp02_Null_B11,26,69.4,
12,5312024,2024,Hyp,02,null,null,B,12,2024_Hyp02_Null_B12,31.9,95.5,
13,5312024,2024,Hyp,02,null,null,B,13,2024_Hyp02_Null_B13,34.2,91.6,
14,5312024,2024,Hyp,02,null,null,B,14,2024_Hyp02_Null_B14,48.9,125.3,
15,5312024,2024,Hyp,02,null,null,B,15,2024_Hyp02_Null_B15,37.9,116.5,
16,5312024,2024,Hyp,02,null,null,B,16,2024_Hyp02_Null_B16,39.4,109.1,
17,5312024,2024,Hyp,03,null,null,B,17,2024_Hyp03_Null_B17,59.7,166,
18,5312024,2024,Hyp,03,null,null,B,18,2024_Hyp03_Null_B18,36,99.1,
19,5312024,2024,Hyp,03,null,null,B,19,2024_Hyp03_Null_B19,51,156,
20,5312024,2024,Hyp,03,null,null,B,20,2024_Hyp03_Null_B20,39.7,123.9,
21,5312024,2024,Hyp,03,null,null,B,21,2024_Hyp03_Null_B21,21.2,60.3,
22,5312024,2024,Hyp,03,null,null,B,22,2024_Hyp03_Null_B22,41.3,129.9,
23,5312024,2024,Hyp,03,null,null,B,23,2024_Hyp03_Null_B23,32.6,100.9,
24,5312024,2024,Hyp,03,null,null,B,24,2024_Hyp03_Null_B24,43.8,109.3,
25,5312024,2024,Hyp,04,null,null,B,25,2024_Hyp04_Null_B25,56,161,little mucky
26,5312024,2024,Hyp,04,null,null,B,26,2024_Hyp04_Null_B26,34.1,95.4,
27,5312024,2024,Hyp,04,null,null,B,27,2024_Hyp04_Null_B27,44.2,119.8,
28,5312024,2024,Hyp,04,null,null,B,28,2024_Hyp04_Null_B28,31.9,85.1,
29,5312024,2024,Hyp,04,null,null,B,29,2024_Hyp04_Null_B29,29.3,78,
30,5312024,2024,Hyp,04,null,null,B,30,2024_Hyp04_Null_B30,26.4,94.2,
31,5312024,2024,Hyp,04,null,null,B,31,2024_Hyp04_Null_B31,18.7,45.9,
32,5312024,2024,Hyp,04,null,null,B,32,2024_Hyp04_Null_B32,10.1,30.3,
33,5312024,2024,Hyp,05,null,null,B,33,2024_Hyp05_Null_B33,76.5,223.3,
34,5312024,2024,Hyp,05,null,null,B,34,2024_Hyp05_Null_B34,41.1,131.9,
35,5312024,2024,Hyp,05,null,null,B,35,2024_Hyp05_Null_B35,38.9,136.5,
36,5312024,2024,Hyp,05,null,null,B,36,2024_Hyp05_Null_B36,41.3,107.7,
37,5312024,2024,Hyp,05,null,null,B,37,2024_Hyp05_Null_B37,51.2,154.3,
38,5312024,2024,Hyp,05,null,null,B,38,2024_Hyp05_Null_B38,32.4,99.6,
39,5312024,2024,Hyp,05,null,null,B,39,2024_Hyp05_Null_B39,41.3,110.9,
40,5312024,2024,Hyp,05,null,null,B,40,2024_Hyp05_Null_B40,47.5,139.8,
41,5312024,2024,Hyp,06,null,null,B,41,2024_Hyp06_Null_B41,65.4,188.2,
42,5312024,2024,Hyp,06,null,null,B,42,2024_Hyp06_Null_B42,28.5,81.8,
43,5312024,2024,Hyp,06,null,null,B,43,2024_Hyp06_Null_B43,44.1,128.5,
44,5312024,2024,Hyp,06,null,null,B,44,2024_Hyp06_Null_B44,42.4,114,
45,5312024,2024,Hyp,06,null,null,B,45,2024_Hyp06_Null_B45,22.1,62.7,
46,5312024,2024,Cont,06,null,null,W,46,2024_Cont06_Null_W46,32.5,133.5,
47,5312024,2024,Hyp,06,null,null,B,46,2024_Hyp06_Null_B46,49.1,133.3,
48,5312024,2024,Hyp,06,null,null,B,47,2024_Hyp06_Null_B47,48.9,149.5,
49,5312024,2024,Hyp,06,null,null,B,48,2024_Hyp06_Null_B48,28.3,99.2,
