Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes
239,8122024,2024,Cont,05,Cont,02,W,81,2024_Cont05_Cont02_W81,419.9,994.6,,
542,8122024,2024,Warm,03,Both,03,G,80,2024_Warm03_Both03_G80,202.7,466.9,,
215,8122024,2024,Cont,03,Cont,02,W,78,2024_Cont03_Cont02_W78,579.1,1291.1,,
587,8122024,2024,Hyp,06,Cont,04,B,77,2024_Hyp06_Cont04_B77,594.7,1417,,
967,8122024,2024,Warm,06,Cont,06,G,72,2024_Warm06_Cont06_G72,314.6,692.5,,
970,8122024,2024,Both,06,Cont,06,O,72,2024_Both06_Cont06_O72,593.3,1365.3,,
981,8122024,2024,Cont,06,Cont,06,W,72,2024_Cont06_Cont06_W72,134.4,336.9,,
996,8122024,2024,Hyp,06,Cont,06,B,72,2024_Hyp06_Cont06_B72,345.7,838.9,,
1009,8122024,2024,Cont,06,Warm,06,W,72,2024_Cont06_Warm06_W72,747,1713.6,,
1019,8122024,2024,Both,06,Warm,06,O,72,2024_Both06_Warm06_O72,582,1311.9,,
1022,8122024,2024,Warm,06,Warm,06,G,72,2024_Warm06_Warm06_G72,675.2,1555,,
1026,8122024,2024,Hyp,06,Warm,06,B,72,2024_Hyp06_Warm06_B72,439.1,1078.1,,
1058,8122024,2024,Both,06,Hyp,06,O,72,2024_Both06_Hyp06_O72,185.8,413.1,,
1071,8122024,2024,Warm,06,Hyp,06,G,72,2024_Warm06_Hyp06_G72,245.9,577.1,,
1094,8122024,2024,Cont,06,Hyp,06,W,72,2024_Cont06_Hyp06_W72,325.5,743.4,,
1096,8122024,2024,Hyp,06,Hyp,06,B,72,2024_Hyp06_Hyp06_B72,259.8,669.9,,
1109,8122024,2024,Hyp,06,Both,06,B,72,2024_Hyp06_Both06_B72,308.2,781.9,,
1126,8122024,2024,Cont,06,Both,06,W,72,2024_Cont06_Both06_W72,269,644.4,,
1130,8122024,2024,Both,06,Both,06,O,72,2024_Both06_Both06_O72,727.2,1953.6,,
