Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,
1410,7/23/24,2024,NA,NA,Cont,02,?,NA,2024_NANA_Cont02_?NA,371.4,1005.8,untagged/tag fell off but will be able to figure out what tag it should have - might be W18,
525,7/26/24,2024,Cont,05,Cont,02,W,81,2024_Cont05_Cont02_W81,287.2,728.3,replacing W21,
210,7/26/24,2024,Warm,03,Both,03,G,80,2024_Warm03_Both03_G80,137.6,326.2,replacing G30,
524,7/26/24,2024,Cont,03,Cont,02,W,78,2024_Cont03_Cont02_W78,340.3,837.5,replacing W18,
665,7/26/24,2024,Hyp,06,Cont,04,B,77,2024_Hyp06_Cont04_B77,352.3,896.7,replacing B47,
350,7/25/24,2024,Hyp,06,Cont,06,B,72,2024_Hyp06_Cont06_B72,143.4,395.9,,
426,7/26/24,2024,Cont,06,Both,06,W,72,2024_Cont06_Both06_W72,195.4,474.5,,
427,7/26/24,2024,Hyp,06,Both,06,B,72,2024_Hyp06_Both06_B72,185.9,475,,
428,7/26/24,2024,Warm,06,Both,06,G,72,2024_Warm06_Both06_G72,261.9,603.9,,
429,7/26/24,2024,Both,06,Both,06,O,72,2024_Both06_Both06_O72,470.4,1241.8,,
773,7/25/24,2024,Cont,06,Cont,06,W,72,2024_Cont06_Cont06_W72,124.1,317,,
774,7/25/24,2024,Hyp,06,Cont,06,B,72,2024_Hyp06_Cont06_B72,143.4,395.9,,
775,7/25/24,2024,Warm,06,Cont,06,G,72,2024_Warm06_Cont06_G72,262,601.1,,
776,7/25/24,2024,Both,06,Cont,06,O,72,2024_Both06_Cont06_O72,346.6,787.4,,
1038,7/25/24,2024,Warm,06,Cont,06,G,72,2024_Warm06_Cont06_G72,262,601.1,,
1118,7/26/24,2024,Both,06,Hyp,06,O,72,2024_Both06_Hyp06_O72,112.1,252.7,,
1119,7/26/24,2024,Warm,06,Hyp,06,G,72,2024_Warm06_Hyp06_G72,132.1,312.8,,
1120,7/26/24,2024,Hyp,06,Hyp,06,B,72,2024_Hyp06_Hyp06_B72,195.5,504.8,,
1121,7/26/24,2024,Cont,06,Hyp,06,W,72,2024_Cont06_Hyp06_W72,247.1,574.2,,
1439,7/25/24,2024,Hyp,06,Warm,06,B,72,2024_Hyp06_Warm06_B72,335.6,866.8,,
1440,7/25/24,2024,Both,06,Warm,06,O,72,2024_Both06_Warm06_O72,375.8,902,,
1441,7/25/24,2024,Warm,06,Warm,06,G,72,2024_Warm06_Warm06_G72,357.5,911.5,,
1442,7/25/24,2024,Cont,06,Warm,06,W,72,2024_Cont06_Warm06_W72,480.5,1101.9,,
116,7/25/24,2024,Both,06,Cont,06,O,71,2024_Both06_Cont06_O71,106.8,252.5,,
352,7/25/24,2024,Cont,06,Cont,06,W,71,2024_Cont06_Cont06_W71,162.3,396,,
422,7/26/24,2024,Both,06,Both,06,O,71,2024_Both06_Both06_O71,120.3,310.5,,
423,7/26/24,2024,Warm,06,Both,06,G,71,2024_Warm06_Both06_G71,179.2,431,,
424,7/26/24,2024,Hyp,06,Both,06,B,71,2024_Hyp06_Both06_B71,184.3,479.2,,
425,7/26/24,2024,Cont,06,Both,06,W,71,2024_Cont06_Both06_W71,285.1,682.4,,
544,7/25/24,2024,Cont,06,Warm,06,W,71,2024_Cont06_Warm06_W71,169.2,438.2,,
552,7/25/24,2024,Warm,06,Warm,06,G,71,2024_Warm06_Warm06_G71,195.6,440.5,,
769,7/25/24,2024,Both,06,Cont,06,O,71,2024_Both06_Cont06_O71,106.8,252.5,,
