Sample_Name_Nutrients,Phase_2_treat,Phase_2_rep,Phase_2_rep_R,Tissue_type,Tag,Tag_color,Tag_num,Linear corr d15N,wt_percent_n,N_Notes,Linear corr d13C,wt_percent_c,C_Notes,N_Exclude,
Cont01 B12 T,Cont,01,Cont01,T,B12,B,12,12.8,8,,-23,40.2,,,
Cont02 G23 T,Cont,02,Cont02,T,G23,G,23,13.3,7.7,,-24.3,47.7,,,
Cont02 W22 T,Cont,02,Cont02,T,W22,W,22,13.3,8.7,,-23,42.5,,,
Cont02 O22 T,Cont,02,Cont02,T,O22,O,22,12.7,7.4,,-23.2,42.5,,,
Cont02 O18 T,Cont,02,Cont02,T,O18,O,18,12.5,5.3,small peak - error on δ15N will be higher,-23.4,33.2,,,
Cont02 G13 T,Cont,02,Cont02,T,G13,G,13,13.2,5.3,small peak - error on δ15N will be higher,-23.1,36.1,,,
Cont02 G17 T,Cont,02,Cont02,T,G17,G,17,12.6,5.9,small peak - error on δ15N will be higher,-23.2,36.3,,,
Cont02 W23 T,Cont,02,Cont02,T,W23,W,23,13,6.5,,-24,45,,,
Cont02 B19 T,Cont,02,Cont02,T,B19,B,19,13,4.5,small peak - error on δ15N will be higher,-24.8,47.1,,,
Cont02 B15 T,Cont,02,Cont02,T,B15,B,15,13.2,8.2,,-23.5,39.9,,,
Cont03 B29 T,Cont,03,Cont03,T,B29,B,29,13,7.3,,-24.3,48.9,,,
Cont03 W31 T,Cont,03,Cont03,T,W31,W,31,13,7.4,,-23.7,41.9,,,
Cont03 W28 T,Cont,03,Cont03,T,W28,W,28,13.7,7.4,,-24,48.6,,,
Cont03 W29 T,Cont,03,Cont03,T,W29,W,29,13.3,5.3,small peak - error on δ15N will be higher,-25.1,57.4,,,
Cont03 G27 T,Cont,03,Cont03,T,G27,G,27,12.9,7.8,,-23.8,43.5,,,
Cont03 G34 T,Cont,03,Cont03,T,G34,G,34,13,9.1,,-22.9,39.2,,,
Cont03 O36 T,Cont,03,Cont03,T,O36,O,36,12.7,7.7,,-23.8,46,,,
Cont03 O34 T,Cont,03,Cont03,T,O34,O,34,11.8,6.2,small peak - error on δ15N will be higher,-24.9,50.4,,,
Cont03 B34 T,Cont,03,Cont03,T,B34,B,34,12.5,7.7,,-22.7,37.9,,,
Cont03 B25 T,Cont,03,Cont03,T,B25,B,25,13.3,6.5,small peak - error on δ15N will be higher,-24.4,46.8,,,
Cont03 G26 T,Cont,03,Cont03,T,G26,G,26,12.9,6.7,,-23.8,43.1,,,
Cont04 W39 T,Cont,04,Cont04,T,W39,W,39,12.7,5.4,small peak - error on δ15N will be higher,-24.9,52,,,
Cont04 O42 T,Cont,04,Cont04,T,O42,O,42,12.3,6.9,small peak - error on δ15N will be higher,-24.1,45.9,,,
Cont04 O44 T,Cont,04,Cont04,T,O44,O,44,12.4,6.2,small peak - error on δ15N will be higher,-25.5,41.6,,,
Cont04 G39 T,Cont,04,Cont04,T,G39,G,39,13.7,7.6,,-23.5,42.3,,,
Cont04 B43 T,Cont,04,Cont04,T,B43,B,43,13.2,7.2,,-24.1,45.4,,,
Cont04 G43 T,Cont,04,Cont04,T,G43,G,43,12.5,6.4,small peak - error on δ15N will be higher,-23.8,38.9,,,
Cont04 B39 T,Cont,04,Cont04,T,B39,B,39,13.2,5.9,small peak - error on δ15N will be higher,-24.9,51.9,,,
Cont04  W47 T,Cont,04,Cont04,T,W47,W,47,12.3,6.8,small peak - error on δ15N will be higher,-23.9,43.4,,,
Cont05 W56 T,Cont,05,Cont05,T,W56,W,56,13.2,7.6,,-23.8,40.6,,,
Cont05 G59 T,Cont,05,Cont05,T,G59,G,59,13,7.6,,-23.5,40.1,,,
Cont05 O60 T,Cont,05,Cont05,T,O60,O,60,12.9,6.4,small peak - error on δ15N will be higher,-24.3,42.6,,,
Cont05 G53 T,Cont,05,Cont05,T,G53,G,53,12.4,7.1,small peak - error on δ15N will be higher,-24.2,41,,,
Cont05 W49 T,Cont,05,Cont05,T,W49,W,49,13.3,8.7,,-23.4,41.2,,,
Cont05 B51 T,Cont,05,Cont05,T,B51,B,51,13.2,7,,-23.9,40,,,
Cont05 O52 T,Cont,05,Cont05,T,O52,O,52,12.6,6.3,small peak - error on δ15N will be higher,-24.4,47.2,,,
Cont05 W58 T,Cont,05,Cont05,T,W58,W,58,14,8.2,,-23.9,47.6,,,
Cont05 B49 T,Cont,05,Cont05,T,B49,B,49,13.7,7.6,,-24.4,44.2,,,
Cont06 W61 T,Cont,06,Cont06,T,W61,W,61,12.9,8,,-22.2,37.8,,,
Cont06 W65 T,Cont,06,Cont06,T,W65,W,65,13.5,8.3,,-22.3,37.8,,,
Cont06 B69 T,Cont,06,Cont06,T,B69,B,69,13.2,7.8,,-21.9,38,,,
Cont06 G65 T,Cont,06,Cont06,T,G65,G,65,13,8.8,,-23.1,43.1,,,
Cont06 O61 T,Cont,06,Cont06,T,O61,O,61,13.3,5.8,small peak - error on δ15N will be higher,-20.1,30.5,,,
Cont06 G70 T,Cont,06,Cont06,T,G70,G,70,13.3,6.5,small peak - error on δ15N will be higher,-24.7,48.3,,,
Cont06 B71 T,Cont,06,Cont06,T,B71,B,71,13.3,6.8,small peak - error on δ15N will be higher,-24,50.6,,,
Cont06 O68 T,Cont,06,Cont06,T,O68,O,68,13.4,8,,-23.3,42.8,,,
Cont06 O62 T,Cont,06,Cont06,T,O62,O,62,13.6,8.4,,-22.3,39,,,
Cont06 O64 T,Cont,06,Cont06,T,O64,O,64,12.2,5.3,small peak - error on δ15N will be higher,-23.6,44.6,,,
Warm01 B11 T,Warm,01,Warm01,T,B11,B,11,13.5,7.4,,-23.8,41.8,,,
Warm01 G5 T,Warm,01,Warm01,T,G5,G,5,12.9,8.2,,-23.7,41.1,,,
Warm01 W4 T,Warm,01,Warm01,T,W4,W,4,13,9.4,,-23.2,43.9,,,
Warm01 B3 T,Warm,01,Warm01,T,B3,B,3,12.7,5.8,small peak - error on δ15N will be higher,-23.1,39,,,
Warm01 G11 T,Warm,01,Warm01,T,G11,G,11,12.9,7.7,,-23.5,41,,,
Warm01 O11 T,Warm,01,Warm01,T,O11,O,11,12.8,7.2,,-23.7,44.2,,,
Warm01 W11 T,Warm,01,Warm01,T,W11,W,11,12.6,7.6,,-23,37.3,,,
Warm02 W19 T,Warm,02,Warm02,T,W19,W,19,13.4,10,,-23,42,,,
Warm02 W23 T,Warm,02,Warm02,T,W23,W,23,12.8,9.5,,-22.6,39.7,,,
Warm02 O13 T,Warm,02,Warm02,T,O13,O,13,13.3,8.9,,-23.6,49.6,,,
Warm02 G17 T,Warm,02,Warm02,T,G17,G,17,13,7.6,,-23.8,45.1,,,
Warm02 O15 T,Warm,02,Warm02,T,O15,O,15,11.9,6.2,small peak - error on δ15N will be higher,-25.1,57.5,,,
Warm02 B17 T,Warm,02,Warm02,T,B17,B,17,NA,NA,no N peak,-25.7,5.3,small peak - error on δ13C will be higher,Y,Y
Warm02 B18 T,Warm,02,Warm02,T,B18,B,18,13.2,7.7,,-23.7,45.8,,,
Warm03 G27 T,Warm,03,Warm03,T,G27,G,27,12.5,5.9,small peak - error on δ15N will be higher,-24.9,50.1,,,
Warm03 B27 T,Warm,03,Warm03,T,B27,B,27,12.8,7.2,,-23.9,41.5,,,
Warm03 O30 T,Warm,03,Warm03,T,O30,O,30,12.5,6.7,small peak - error on δ15N will be higher,-23.2,37.9,,,
Warm03 B31 T,Warm,03,Warm03,T,B31,B,31,12.9,7.6,,-23.4,41.6,,,
Warm03 W26 T,Warm,03,Warm03,T,W26,W,26,12.5,4.9,small peak - error on δ15N will be higher,-24.8,52.4,,,
Warm03 G34 T,Warm,03,Warm03,T,G34,G,34,12.5,5.2,small peak - error on δ15N will be higher,-24.9,54.5,,,
Warm03 O32 T,Warm,03,Warm03,T,O32,O,32,13.1,7.9,,-24.5,51.1,,,
Warm04 G40 T,Warm,04,Warm04,T,G40,G,40,13,8.6,,-22.7,37.8,,,
Warm04 O43 T,Warm,04,Warm04,T,O43,O,43,12.5,8,,-23.5,45.9,,,
Warm04 B41 T,Warm,04,Warm04,T,B41,B,41,12.9,7.5,,-23.8,43,,,
Warm04 G37 T,Warm,04,Warm04,T,G37,G,37,13.6,7.1,small peak - error on δ15N will be higher,-23.9,45,,,
Warm04 B43 T,Warm,04,Warm04,T,B43,B,43,13,7.5,,-23.7,43.5,,,
Warm04 W39 T,Warm,04,Warm04,T,W39,W,39,12.8,7.8,,-23.8,43.2,,,
Warm04 O47 T,Warm,04,Warm04,T,O47,O,47,13.2,7.3,,-24.1,45.9,,,
Warm04 W37 T,Warm,04,Warm04,T,W37,W,37,13,8.6,,-23.3,42.7,,,
Warm05 O57 T,Warm,05,Warm05,T,O57,O,57,12.6,8.6,,-23,37.8,,,
Warm05 B60 T,Warm,05,Warm05,T,B60,B,60,12.8,8.1,,-23.9,44.4,,,
Warm05 O53 T,Warm,05,Warm05,T,O53,O,53,13.2,7.5,,-24.2,51.9,,,
Warm05 W49 T,Warm,05,Warm05,T,W49,W,49,12.7,7.5,,-23.5,40.2,,,
Warm05 W59 T,Warm,05,Warm05,T,W59,W,59,13,7.9,,-23.4,42.8,,,
Warm05 B58 T,Warm,05,Warm05,T,B58,B,58,13.1,3.7,small peak - error on δ15N will be higher,-25.7,67,,,
Warm05 G59 T,Warm,05,Warm05,T,G59,G,59,13.3,8.7,,-23.8,47.5,,,
Warm05 G57 T,Warm,05,Warm05,T,G57,G,57,12.4,8.3,,-23,37.2,,,
Warm06 O61 T,Warm,06,Warm06,T,O61,O,61,13.7,7,,-24.5,56.3,,,
Warm06 O64 T,Warm,06,Warm06,T,O64,O,64,13.3,8,,-23.9,49.3,,,
Warm06 B70 T,Warm,06,Warm06,T,B70,B,70,13.2,6.8,,-23.5,46,,,
Warm06 B62 T,Warm,06,Warm06,T,B62,B,62,13.3,8.8,,-22.2,38.1,,,
Warm06 G65 T,Warm,06,Warm06,T,G65,G,65,13.2,8.8,,-21.9,38.9,,,
Warm06 G67 T,Warm,06,Warm06,T,G67,G,67,12.8,6.3,small peak - error on δ15N will be higher,-21.9,38.5,,,
Warm06 W65 T,Warm,06,Warm06,T,W65,W,65,12.6,6.4,small peak - error on δ15N will be higher,-23.3,43.1,,,
Warm06 W69 T,Warm,06,Warm06,T,W69,W,69,13.2,7.6,,-23.3,45.3,,,
Hyp01 G1 T,Hyp,01,Hyp01,T,G1,G,1,13.3,7.8,,-24,43.5,,,
Hyp01 W8 T,Hyp,01,Hyp01,T,W8,W,8,13,8.3,,-24,50.1,,,
Hyp01 O5 T,Hyp,01,Hyp01,T,O5,O,5,12.4,7.6,,-22.9,39.8,,,
Hyp01 W9 T,Hyp,01,Hyp01,T,W9,W,9,12.1,5.9,small peak - error on δ15N will be higher,-24.2,47.7,,,
Hyp01 B5 T,Hyp,01,Hyp01,T,B5,B,5,13,6.8,,-24.4,47.5,,,
Hyp01 O12 T,Hyp,01,Hyp01,T,O12,O,12,12.9,6.6,,-25,57,,,
Hyp01 B8 T,Hyp,01,Hyp01,T,B8,B,8,12.2,5.3,small peak - error on δ15N will be higher,-25.2,52.9,,,
Hyp01 G5 T,Hyp,01,Hyp01,T,G5,G,5,12.7,5.3,small peak - error on δ15N will be higher,-24.9,51.8,,,
Hyp02 W17 T,Hyp,02,Hyp02,T,W17,W,17,12.3,8,,-23.5,44,,,
Hyp02 B14 T,Hyp,02,Hyp02,T,B14,B,14,12.8,8.8,,-24,49.3,,,
Hyp02 G19 T,Hyp,02,Hyp02,T,G19,G,19,12.7,7.6,,-23,39.6,,,
Hyp02 G21 T,Hyp,02,Hyp02,T,G21,G,21,12.6,9.2,,-23.2,42.8,,,
Hyp02 O19 T,Hyp,02,Hyp02,T,O19,O,19,13,3.9,small peak - error on δ15N will be higher,-25.8,64.5,,,
Hyp02 B23 T,Hyp,02,Hyp02,T,B23,B,23,13,7.7,,-23.8,40.3,,,
Hyp02 O13 T,Hyp,02,Hyp02,T,O13,O,13,12.7,8.2,,-23.9,46,,,
Hyp02 W19 T,Hyp,02,Hyp02,T,W19,W,19,12.7,5.1,small peak - error on δ15N will be higher,-25.7,59.2,,,
Hyp03 G35 T,Hyp,03,Hyp03,T,G35,G,35,12.7,5.8,small peak - error on δ15N will be higher,-26.3,54.5,,,
Hyp03 W27 T,Hyp,03,Hyp03,T,W27,W,27,13.2,9.2,,-23.7,45.3,,,
Hyp03 O28 T,Hyp,03,Hyp03,T,O28,O,28,12.6,7.9,,-24.2,43.9,,,
Hyp03 O25 T,Hyp,03,Hyp03,T,O25,O,25,12.7,5,small peak - error on δ15N will be higher,-26.6,59.7,,,
Hyp03 B29 T,Hyp,03,Hyp03,T,B29,B,29,12.3,6.6,small peak - error on δ15N will be higher,-23.1,40.7,,,
Hyp03 B25 T,Hyp,03,Hyp03,T,B25,B,25,13.6,6.5,,-26.1,57.2,,,
Hyp03 W25 T,Hyp,03,Hyp03,T,W25,W,25,12.6,9.4,,-23.1,40.4,,,
Hyp03 G27 T,Hyp,03,Hyp03,T,G27,G,27,12.6,7.8,,-23.4,41.4,,,
Hyp04 G47 T,Hyp,04,Hyp04,T,G47,G,47,12.2,5.4,small peak - error on δ15N will be higher,-26.3,57.4,,,
Hyp04 W41 T,Hyp,04,Hyp04,T,W41,W,41,12.3,4.5,small peak - error on δ15N will be higher,-27.2,68,,,
Hyp04 W43 T,Hyp,04,Hyp04,T,W43,W,43,12.2,6,small peak - error on δ15N will be higher,-25.5,50.4,,,
Hyp04 O43 T,Hyp,04,Hyp04,T,O43,O,43,12.2,3.8,small peak - error on δ15N will be higher,-27,70.7,,,
Hyp04 B45 T,Hyp,04,Hyp04,T,B45,B,45,12.5,8.3,,-24.2,48.9,,,
Hyp04 G39 T,Hyp,04,Hyp04,T,G39,G,39,14.5,3.9,small peak - error on δ15N will be higher,-27.1,67.9,,,
Hyp04 O47 T,Hyp,04,Hyp04,T,O47,O,47,13,3,small peak - error on δ15N will be higher,-27.8,72.4,,,
Hyp04 B39 T,Hyp,04,Hyp04,T,B39,B,39,12.3,6.5,,-24.8,47.3,,,
Hyp05 O57 T,Hyp,05,Hyp05,T,O57,O,57,12.1,7.5,,-20.5,36.2,,,
Hyp05 O53 T,Hyp,05,Hyp05,T,O53,O,53,12.6,9,,-21.3,39.2,,,
Hyp05 B55 T,Hyp,05,Hyp05,T,B55,B,55,12.9,10.5,,-21.8,43.8,,,
Hyp05 W51 T,Hyp,05,Hyp05,T,W51,W,51,12.3,8,,-21.1,37.8,,,
Hyp05 B57 T,Hyp,05,Hyp05,T,B57,B,57,12.7,9.4,,-21.9,42.2,,,
Hyp05 G54 T,Hyp,05,Hyp05,T,G54,G,54,13,7.5,,-24.4,52.6,,,
Hyp05 G58 T,Hyp,05,Hyp05,T,G58,G,58,12,5.9,small peak - error on δ15N will be higher,-22.5,39.3,,,
Hyp05 W49 T,Hyp,05,Hyp05,T,W49,W,49,12.6,8.2,,-23.1,45.2,,,
Hyp06 W71 T,Hyp,06,Hyp06,T,W71,W,71,12.9,6.8,small peak - error on δ15N will be higher,-24.9,49.3,,,
Hyp06 B62 T,Hyp,06,Hyp06,T,B62,B,62,13.5,9.4,,-23.2,43,,,
Hyp06 G67 T,Hyp,06,Hyp06,T,G67,G,67,12.9,2.8,small peak - error on δ15N will be higher,-27.4,72.9,,,
Hyp06 O65 T,Hyp,06,Hyp06,T,O65,O,65,12.5,6,small peak - error on δ15N will be higher,-24.9,51.2,,,
Hyp06 O63 T,Hyp,06,Hyp06,T,O63,O,63,12.4,7.4,,-24.7,50.1,,,
Hyp06 B72 T,Hyp,06,Hyp06,T,B72,B,72,13.1,3.4,small peak - error on δ15N will be higher,-27.4,87.5,,,
Hyp06 W69 T,Hyp,06,Hyp06,T,W69,W,69,12.2,8,,-23.9,45.4,,,
Hyp06 G70 T,Hyp,06,Hyp06,T,G70,G,70,12.7,7.5,,-23.7,44.4,,,
Both01 B11 T,Both,01,Both01,T,B11,B,11,12.3,4.7,small peak - error on δ15N will be higher,-26.1,57.3,,,
Both01 G12 T,Both,01,Both01,T,G12,G,12,11.9,5.4,small peak - error on δ15N will be higher,-25.9,59.2,,,
Both01 W9 T,Both,01,Both01,T,W9,W,9,12.4,6.6,small peak - error on δ15N will be higher,-25.3,52.9,,,
Both01 W5 T,Both,01,Both01,T,W5,W,5,11.6,6.7,,-23.6,39.1,,,
