Sample_Name_Nutrients,Linear corr d15N,wt %N,N_Notes,Linear corr d13C,wt %C,C_Notes,N_Exclude,
Cont01 B12 T,12.8,8.0,,-23.0,40.2,,,
Cont02 G23 T,13.3,7.7,,-24.3,47.7,,,
Cont02 W22 T,13.3,8.7,,-23.0,42.5,,,
Cont02 O22 T,12.7,7.4,,-23.2,42.5,,,
Cont02 O18 T,12.5,5.3,small peak - error on δ15N will be higher,-23.4,33.2,,,
Cont02 G13 T,13.2,5.3,small peak - error on δ15N will be higher,-23.1,36.1,,,
Cont02 G17 T,12.6,5.9,small peak - error on δ15N will be higher,-23.2,36.3,,,
Cont02 W23 T,13.0,6.5,,-24.0,45.0,,,
Cont02 B19 T,13.0,4.5,small peak - error on δ15N will be higher,-24.8,47.1,,,
Cont02 B15 T,13.2,8.2,,-23.5,39.9,,,
Cont03 B29 T,13.0,7.3,,-24.3,48.9,,,
Cont03 W31 T,13.0,7.4,,-23.7,41.9,,,
Cont03 W28 T,13.7,7.4,,-24.0,48.6,,,
Cont03 W29 T,13.3,5.3,small peak - error on δ15N will be higher,-25.1,57.4,,,
Cont03 G27 T,12.9,7.8,,-23.8,43.5,,,
Cont03 G34 T,13.0,9.1,,-22.9,39.2,,,
Cont03 O36 T,12.7,7.7,,-23.8,46.0,,,
Cont03 O34 T,11.8,6.2,small peak - error on δ15N will be higher,-24.9,50.4,,,
Cont03 B34 T,12.5,7.7,,-22.7,37.9,,,
Cont03 B25 T,13.3,6.5,small peak - error on δ15N will be higher,-24.4,46.8,,,
Cont03 G26 T,12.9,6.7,,-23.8,43.1,,,
Cont04 W39 T,12.7,5.4,small peak - error on δ15N will be higher,-24.9,52.0,,,
Cont04 O42 T,12.3,6.9,small peak - error on δ15N will be higher,-24.1,45.9,,,
Cont04 O44 T,12.4,6.2,small peak - error on δ15N will be higher,-25.5,41.6,,,
Cont04 G39 T,13.7,7.6,,-23.5,42.3,,,
Cont04 B43 T,13.2,7.2,,-24.1,45.4,,,
Cont04 G43 T,12.5,6.4,small peak - error on δ15N will be higher,-23.8,38.9,,,
Cont04 B39 T,13.2,5.9,small peak - error on δ15N will be higher,-24.9,51.9,,,
Cont04  W47 T,12.3,6.8,small peak - error on δ15N will be higher,-23.9,43.4,,,
Cont05 W56 T,13.2,7.6,,-23.8,40.6,,,
Cont05 G59 T,13.0,7.6,,-23.5,40.1,,,
Cont05 O60 T,12.9,6.4,small peak - error on δ15N will be higher,-24.3,42.6,,,
Cont05 G53 T,12.4,7.1,small peak - error on δ15N will be higher,-24.2,41.0,,,
Cont05 W49 T,13.3,8.7,,-23.4,41.2,,,
Cont05 B51 T,13.2,7.0,,-23.9,40.0,,,
Cont05 O52 T,12.6,6.3,small peak - error on δ15N will be higher,-24.4,47.2,,,
Cont05 W58 T,14.0,8.2,,-23.9,47.6,,,
Cont05 B49 T,13.7,7.6,,-24.4,44.2,,,
Cont06 W61 T,12.9,8.0,,-22.2,37.8,,,
Cont06 W65 T,13.5,8.3,,-22.3,37.8,,,
Cont06 B69 T,13.2,7.8,,-21.9,38.0,,,
Cont06 G65 T,13.0,8.8,,-23.1,43.1,,,
Cont06 O61 T,13.3,5.8,small peak - error on δ15N will be higher,-20.1,30.5,,,
Cont06 G70 T,13.3,6.5,small peak - error on δ15N will be higher,-24.7,48.3,,,
Cont06 B71 T,13.3,6.8,small peak - error on δ15N will be higher,-24.0,50.6,,,
Cont06 O68 T,13.4,8.0,,-23.3,42.8,,,
Cont06 O62 T,13.6,8.4,,-22.3,39.0,,,
Cont06 O64 T,12.2,5.3,small peak - error on δ15N will be higher,-23.6,44.6,,,
Warm01 B11 T,13.5,7.4,,-23.8,41.8,,,
Warm01 G5 T,12.9,8.2,,-23.7,41.1,,,
Warm01 W4 T,13.0,9.4,,-23.2,43.9,,,
Warm01 B3 T,12.7,5.8,small peak - error on δ15N will be higher,-23.1,39.0,,,
Warm01 G11 T,12.9,7.7,,-23.5,41.0,,,
Warm01 O11 T,12.8,7.2,,-23.7,44.2,,,
Warm01 W11 T,12.6,7.6,,-23.0,37.3,,,
Warm02 W19 T,13.4,10.0,,-23.0,42.0,,,
Warm02 W23 T,12.8,9.5,,-22.6,39.7,,,
Warm02 O13 T,13.3,8.9,,-23.6,49.6,,,
Warm02 G17 T,13.0,7.6,,-23.8,45.1,,,
Warm02 O15 T,11.9,6.2,small peak - error on δ15N will be higher,-25.1,57.5,,,
Warm02 B17 T,NA,NA,no N peak,-25.7,5.3,small peak - error on δ13C will be higher,Y,Y
Warm02 B18 T,13.2,7.7,,-23.7,45.8,,,
Warm03 G27 T,12.5,5.9,small peak - error on δ15N will be higher,-24.9,50.1,,,
Warm03 B27 T,12.8,7.2,,-23.9,41.5,,,
Warm03 O30 T,12.5,6.7,small peak - error on δ15N will be higher,-23.2,37.9,,,
Warm03 B31 T,12.9,7.6,,-23.4,41.6,,,
Warm03 W26 T,12.5,4.9,small peak - error on δ15N will be higher,-24.8,52.4,,,
Warm03 G34 T,12.5,5.2,small peak - error on δ15N will be higher,-24.9,54.5,,,
Warm03 O32 T,13.1,7.9,,-24.5,51.1,,,
Warm04 G40 T,13.0,8.6,,-22.7,37.8,,,
Warm04 O43 T,12.5,8.0,,-23.5,45.9,,,
Warm04 B41 T,12.9,7.5,,-23.8,43.0,,,
Warm04 G37 T,13.6,7.1,small peak - error on δ15N will be higher,-23.9,45.0,,,
Warm04 B43 T,13.0,7.5,,-23.7,43.5,,,
Warm04 W39 T,12.8,7.8,,-23.8,43.2,,,
Warm04 O47 T,13.2,7.3,,-24.1,45.9,,,
Warm04 W37 T,13.0,8.6,,-23.3,42.7,,,
Warm05 O57 T,12.6,8.6,,-23.0,37.8,,,
Warm05 B60 T,12.8,8.1,,-23.9,44.4,,,
Warm05 O53 T,13.2,7.5,,-24.2,51.9,,,
Warm05 W49 T,12.7,7.5,,-23.5,40.2,,,
Warm05 W59 T,13.0,7.9,,-23.4,42.8,,,
Warm05 B58 T,13.1,3.7,small peak - error on δ15N will be higher,-25.7,67.0,,,
Warm05 G59 T,13.3,8.7,,-23.8,47.5,,,
Warm05 G57 T,12.4,8.3,,-23.0,37.2,,,
Warm06 O61 T,13.7,7.0,,-24.5,56.3,,,
Warm06 O64 T,13.3,8.0,,-23.9,49.3,,,
Warm06 B70 T,13.2,6.8,,-23.5,46.0,,,
Warm06 B62 T,13.3,8.8,,-22.2,38.1,,,
Warm06 G65 T,13.2,8.8,,-21.9,38.9,,,
Warm06 G67 T,12.8,6.3,small peak - error on δ15N will be higher,-21.9,38.5,,,
Warm06 W65 T,12.6,6.4,small peak - error on δ15N will be higher,-23.3,43.1,,,
Warm06 W69 T,13.2,7.6,,-23.3,45.3,,,
Hyp01 G1 T,13.3,7.8,,-24.0,43.5,,,
Hyp01 W8 T,13.0,8.3,,-24.0,50.1,,,
Hyp01 O5 T,12.4,7.6,,-22.9,39.8,,,
Hyp01 W9 T,12.1,5.9,small peak - error on δ15N will be higher,-24.2,47.7,,,
Hyp01 B5 T,13.0,6.8,,-24.4,47.5,,,
Hyp01 O12 T,12.9,6.6,,-25.0,57.0,,,
Hyp01 B8 T,12.2,5.3,small peak - error on δ15N will be higher,-25.2,52.9,,,
Hyp01 G5 T,12.7,5.3,small peak - error on δ15N will be higher,-24.9,51.8,,,
Hyp02 W17 T,12.3,8.0,,-23.5,44.0,,,
Hyp02 B14 T,12.8,8.8,,-24.0,49.3,,,
Hyp02 G19 T,12.7,7.6,,-23.0,39.6,,,
Hyp02 G21 T,12.6,9.2,,-23.2,42.8,,,
Hyp02 O19 T,13.0,3.9,small peak - error on δ15N will be higher,-25.8,64.5,,,
Hyp02 B23 T,13.0,7.7,,-23.8,40.3,,,
Hyp02 O13 T,12.7,8.2,,-23.9,46.0,,,
Hyp02 W19 T,12.7,5.1,small peak - error on δ15N will be higher,-25.7,59.2,,,
Hyp03 G35 T,12.7,5.8,small peak - error on δ15N will be higher,-26.3,54.5,,,
Hyp03 W27 T,13.2,9.2,,-23.7,45.3,,,
Hyp03 O28 T,12.6,7.9,,-24.2,43.9,,,
