og_order,Sample_name,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num
1,2025_Cont06_Cont01_W12,2025,Cont,06,Cont,01,W,12
2,2025_Warm05_Cont01_G10,2025,Warm,05,Cont,01,G,10
3,2025_Hyp01_Cont01_B1,2025,Hyp,01,Cont,01,B,1
4,2025_Both02_Cont01_O3,2025,Both,02,Cont,01,O,3
5,2025_Cont01_Cont02_W13,2025,Cont,01,Cont,02,W,13
6,2025_Warm04_Cont02_G19,2025,Warm,04,Cont,02,G,19
7,2025_Hyp02_Cont02_B16,2025,Hyp,02,Cont,02,B,16
8,2025_Both01_Cont02_O14,2025,Both,01,Cont,02,O,14
9,2025_Cont04_Cont03_W32,2025,Cont,04,Cont,03,W,32
10,2025_Warm01_Cont03_G26,2025,Warm,01,Cont,03,G,26
11,2025_Hyp05_Cont03_B34,2025,Hyp,05,Cont,03,B,34
12,2025_Both04_Cont03_O31,2025,Both,04,Cont,03,O,31
13,2025_Cont05_Cont04_W45,2025,Cont,05,Cont,04,W,45
14,2025_Warm06_Cont04_G48,2025,Warm,06,Cont,04,G,48
15,2025_Hyp03_Cont04_B42,2025,Hyp,03,Cont,04,B,42
16,2025_Both06_Cont04_O47,2025,Both,06,Cont,04,O,47
17,2025_Cont03_Cont05_W54,2025,Cont,03,Cont,05,W,54
18,2025_Warm03_Cont05_G54,2025,Warm,03,Cont,05,G,54
19,2025_Hyp06_Cont05_B59,2025,Hyp,06,Cont,05,B,59
20,2025_Both03_Cont05_O54,2025,Both,03,Cont,05,O,54
21,2025_Cont02_Cont06_W64,2025,Cont,02,Cont,06,W,64
22,2025_Warm02_Cont06_G64,2025,Warm,02,Cont,06,G,64
23,2025_Hyp04_Cont06_B67,2025,Hyp,04,Cont,06,B,67
24,2025_Both05_Cont06_O69,2025,Both,05,Cont,06,O,69
25,2025_Cont03_Warm01_W6,2025,Cont,03,Warm,01,W,6
26,2025_Warm04_Warm01_G8,2025,Warm,04,Warm,01,G,8
27,2025_Hyp05_Warm01_B9,2025,Hyp,05,Warm,01,B,9
28,2025_Both01_Warm01_O1,2025,Both,01,Warm,01,O,1
29,2025_Cont04_Warm02_W20,2025,Cont,04,Warm,02,W,20
30,2025_Warm02_Warm02_G16,2025,Warm,02,Warm,02,G,16
31,2025_Hyp03_Warm02_B18,2025,Hyp,03,Warm,02,B,18
32,2025_Both06_Warm02_O23,2025,Both,06,Warm,02,O,23
33,2025_Cont01_Warm03_W26,2025,Cont,01,Warm,03,W,26
34,2025_Warm05_Warm03_G33,2025,Warm,05,Warm,03,G,33
35,2025_Hyp06_Warm03_B35,2025,Hyp,06,Warm,03,B,35
36,2025_Both02_Warm03_O28,2025,Both,02,Warm,03,O,28
37,2025_Cont06_Warm04_W48,2025,Cont,06,Warm,04,W,48
38,2025_Warm01_Warm04_G38,2025,Warm,01,Warm,04,G,38
39,2025_Hyp02_Warm04_B40,2025,Hyp,02,Warm,04,B,40
40,2025_Both04_Warm04_O44,2025,Both,04,Warm,04,O,44
