og_order,Sample_name,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Gonad,Sex
1,2025_Cont03_Cont01_W5,2025,Cont,03,Cont,01,W,5,,
2,2025_Cont04_Cont01_W7,2025,Cont,04,Cont,01,W,7,,
3,2025_Warm02_Cont01_G3,2025,Warm,02,Cont,01,G,3,,
4,2025_Warm03_Cont01_G5,2025,Warm,03,Cont,01,G,5,,
5,2025_Hyp05_Cont01_B10,2025,Hyp,05,Cont,01,B,10,,
6,2025_Hyp06_Cont01_B12,2025,Hyp,06,Cont,01,B,12,,
7,2025_Both01_Cont01_O2,2025,Both,01,Cont,01,O,2,,
8,2025_Both02_Cont01_O4,2025,Both,02,Cont,01,O,4,,
9,2025_Cont05_Cont02_W21,2025,Cont,05,Cont,02,W,21,,
10,2025_Cont06_Cont02_W23,2025,Cont,06,Cont,02,W,23,,
11,2025_Warm01_Cont02_G13,2025,Warm,01,Cont,02,G,13,,
12,2025_Warm06_Cont02_G23,2025,Warm,06,Cont,02,G,23,,
13,2025_Hyp03_Cont02_B17,2025,Hyp,03,Cont,02,B,17,,
14,2025_Hyp04_Cont02_B19,2025,Hyp,04,Cont,02,B,19,,
15,2025_Both03_Cont02_O18,2025,Both,03,Cont,02,O,18,,
16,2025_Both05_Cont02_O22,2025,Both,05,Cont,02,O,22,,
17,2025_Cont02_Cont03_W27,2025,Cont,02,Cont,03,W,27,,
18,2025_Cont04_Cont03_W31,2025,Cont,04,Cont,03,W,31,,
19,2025_Warm01_Cont03_G25,2025,Warm,01,Cont,03,G,25,,
20,2025_Warm05_Cont03_G34,2025,Warm,05,Cont,03,G,34,,
21,2025_Hyp01_Cont03_B25,2025,Hyp,01,Cont,03,B,25,,
22,2025_Hyp03_Cont03_B29,2025,Hyp,03,Cont,03,B,29,,
23,2025_Both05_Cont03_O34,2025,Both,05,Cont,03,O,34,,
24,2025_Both06_Cont03_O36,2025,Both,06,Cont,03,O,36,,
25,2025_Cont02_Cont04_W39,2025,Cont,02,Cont,04,W,39,,
26,2025_Cont06_Cont04_W47,2025,Cont,06,Cont,04,W,47,,
27,2025_Warm02_Cont04_G39,2025,Warm,02,Cont,04,G,39,,
28,2025_Warm04_Cont04_G43,2025,Warm,04,Cont,04,G,43,,
29,2025_Hyp02_Cont04_B39,2025,Hyp,02,Cont,04,B,39,,
30,2025_Hyp04_Cont04_B43,2025,Hyp,04,Cont,04,B,43,,
31,2025_Both03_Cont04_O42,2025,Both,03,Cont,04,O,42,,
32,2025_Both04_Cont04_O44,2025,Both,04,Cont,04,O,44,,
33,2025_Cont01_Cont05_W50,2025,Cont,01,Cont,05,W,50,,
34,2025_Cont05_Cont05_W58,2025,Cont,05,Cont,05,W,58,,
35,2025_Warm03_Cont05_G53,2025,Warm,03,Cont,05,G,53,,
36,2025_Warm06_Cont05_G59,2025,Warm,06,Cont,05,G,59,,
37,2025_Hyp01_Cont05_B49,2025,Hyp,01,Cont,05,B,49,,
38,2025_Hyp02_Cont05_B51,2025,Hyp,02,Cont,05,B,51,,
39,2025_Both02_Cont05_O52,2025,Both,02,Cont,05,O,52,,
40,2025_Both06_Cont05_O60,2025,Both,06,Cont,05,O,60,,
41,2025_Cont01_Cont06_W61,2025,Cont,01,Cont,06,W,61,,
42,2025_Cont03_Cont06_W65,2025,Cont,03,Cont,06,W,65,,
43,2025_Warm04_Cont06_G68,2025,Warm,04,Cont,06,G,68,,
44,2025_Warm05_Cont06_G69,2025,Warm,05,Cont,06,G,69,,
45,2025_Hyp05_Cont06_B69,2025,Hyp,05,Cont,06,B,69,,
46,2025_Hyp06_Cont06_B71,2025,Hyp,06,Cont,06,B,71,,
47,2025_Both01_Cont06_O61,2025,Both,01,Cont,06,O,61,,
48,2025_Both04_Cont06_O68,2025,Both,04,Cont,06,O,68,,
49,2025_Cont01_Warm01_W2,2025,Cont,01,Warm,01,W,2,,
50,2025_Cont02_Warm01_W4,2025,Cont,02,Warm,01,W,4,,
51,2025_Warm03_Warm01_G5,2025,Warm,03,Warm,01,G,5,,
52,2025_Warm06_Warm01_G11,2025,Warm,06,Warm,01,G,11,,
53,2025_Hyp02_Warm01_B3,2025,Hyp,02,Warm,01,B,3,,
54,2025_Hyp06_Warm01_B11,2025,Hyp,06,Warm,01,B,11,,
55,2025_Both05_Warm01_O9,2025,Both,05,Warm,01,O,9,,
56,2025_Both06_Warm01_O11,2025,Both,06,Warm,01,O,11,,
57,2025_Cont04_Warm02_W19,2025,Cont,04,Warm,02,W,19,,
58,2025_Cont06_Warm02_W23,2025,Cont,06,Warm,02,W,23,,
59,2025_Warm03_Warm02_G17,2025,Warm,03,Warm,02,G,17,,
60,2025_Warm04_Warm02_G19,2025,Warm,04,Warm,02,G,19,,
61,2025_Hyp01_Warm02_B14,2025,Hyp,01,Warm,02,B,14,,
62,2025_Hyp03_Warm02_B17,2025,Hyp,03,Warm,02,B,17,,
63,2025_Both01_Warm02_O13,2025,Both,01,Warm,02,O,13,,
64,2025_Both02_Warm02_O15,2025,Both,02,Warm,02,O,15,,
65,2025_Cont04_Warm03_W32,2025,Cont,04,Warm,03,W,32,,
66,2025_Cont05_Warm03_W34,2025,Cont,05,Warm,03,W,34,,
67,2025_Warm01_Warm03_G26,2025,Warm,01,Warm,03,G,26,,
68,2025_Warm02_Warm03_G27,2025,Warm,02,Warm,03,G,27,,
69,2025_Hyp02_Warm03_B27,2025,Hyp,02,Warm,03,B,27,,
70,2025_Hyp04_Warm03_B31,2025,Hyp,04,Warm,03,B,31,,
71,2025_Both03_Warm03_O30,2025,Both,03,Warm,03,O,30,,
72,2025_Both04_Warm03_O32,2025,Both,04,Warm,03,O,32,,
73,2025_Cont01_Warm04_W37,2025,Cont,01,Warm,04,W,37,,
74,2025_Cont02_Warm04_W39,2025,Cont,02,Warm,04,W,39,,
75,2025_Warm01_Warm04_G37,2025,Warm,01,Warm,04,G,37,,
76,2025_Warm02_Warm04_G39,2025,Warm,02,Warm,04,G,39,,
77,2025_Hyp03_Warm04_B41,2025,Hyp,03,Warm,04,B,41,,
78,2025_Hyp04_Warm04_B43,2025,Hyp,04,Warm,04,B,43,,
79,2025_Both04_Warm04_O43,2025,Both,04,Warm,04,O,43,,
80,2025_Both06_Warm04_O47,2025,Both,06,Warm,04,O,47,,
81,2025_Cont03_Warm05_W54,2025,Cont,03,Warm,05,W,54,,
82,2025_Cont06_Warm05_W59,2025,Cont,06,Warm,05,W,59,,
83,2025_Warm05_Warm05_G57,2025,Warm,05,Warm,05,G,57,,
84,2025_Warm06_Warm05_G59,2025,Warm,06,Warm,05,G,59,,
85,2025_Hyp05_Warm05_B57,2025,Hyp,05,Warm,05,B,57,,
86,2025_Hyp06_Warm05_B60,2025,Hyp,06,Warm,05,B,60,,
87,2025_Both03_Warm05_O53,2025,Both,03,Warm,05,O,53,,
88,2025_Both05_Warm05_O57,2025,Both,05,Warm,05,O,57,,
89,2025_Cont03_Warm06_W65,2025,Cont,03,Warm,06,W,65,,
90,2025_Cont05_Warm06_W69,2025,Cont,05,Warm,06,W,69,,
91,2025_Warm04_Warm06_G67,2025,Warm,04,Warm,06,G,67,,
92,2025_Warm05_Warm06_G70,2025,Warm,05,Warm,06,G,70,,
93,2025_Hyp01_Warm06_B62,2025,Hyp,01,Warm,06,B,62,,
94,2025_Hyp05_Warm06_B70,2025,Hyp,05,Warm,06,B,70,,
95,2025_Both01_Warm06_O61,2025,Both,01,Warm,06,O,61,,
96,2025_Both02_Warm06_O64,2025,Both,02,Warm,06,O,64,,
97,2025_Cont05_Hyp01_W9,2025,Cont,05,Hyp,01,W,9,,
98,2025_Cont06_Hyp01_W11,2025,Cont,06,Hyp,01,W,11,,
99,2025_Warm01_Hyp01_G1,2025,Warm,01,Hyp,01,G,1,,
100,2025_Warm03_Hyp01_G5,2025,Warm,03,Hyp,01,G,5,,
101,2025_Hyp03_Hyp01_B5,2025,Hyp,03,Hyp,01,B,5,,
102,2025_Hyp04_Hyp01_B7,2025,Hyp,04,Hyp,01,B,7,,
103,2025_Both03_Hyp01_O5,2025,Both,03,Hyp,01,O,5,,
104,2025_Both06_Hyp01_O11,2025,Both,06,Hyp,01,O,11,,
105,2025_Cont03_Hyp02_W17,2025,Cont,03,Hyp,02,W,17,,
106,2025_Cont04_Hyp02_W19,2025,Cont,04,Hyp,02,W,19,,
107,2025_Warm01_Hyp02_G13,2025,Warm,01,Hyp,02,G,13,,
108,2025_Warm04_Hyp02_G19,2025,Warm,04,Hyp,02,G,19,,
109,2025_Hyp02_Hyp02_B15,2025,Hyp,02,Hyp,02,B,15,,
110,2025_Hyp06_Hyp02_B23,2025,Hyp,06,Hyp,02,B,23,,
111,2025_Both01_Hyp02_O13,2025,Both,01,Hyp,02,O,13,,
112,2025_Both04_Hyp02_O19,2025,Both,04,Hyp,02,O,19,,
113,2025_Cont01_Hyp03_W25,2025,Cont,01,Hyp,03,W,25,,
114,2025_Cont02_Hyp03_W27,2025,Cont,02,Hyp,03,W,27,,
115,2025_Warm02_Hyp03_G27,2025,Warm,02,Hyp,03,G,27,,
116,2025_Warm06_Hyp03_G35,2025,Warm,06,Hyp,03,G,35,,
117,2025_Hyp01_Hyp03_B25,2025,Hyp,01,Hyp,03,B,25,,
118,2025_Hyp03_Hyp03_B29,2025,Hyp,03,Hyp,03,B,29,,
119,2025_Both01_Hyp03_O25,2025,Both,01,Hyp,03,O,25,,
120,2025_Both02_Hyp03_O27,2025,Both,02,Hyp,03,O,27,,
121,2025_Cont03_Hyp04_W41,2025,Cont,03,Hyp,04,W,41,,
122,2025_Cont04_Hyp04_W43,2025,Cont,04,Hyp,04,W,43,,
123,2025_Warm02_Hyp04_G39,2025,Warm,02,Hyp,04,G,39,,
124,2025_Warm06_Hyp04_G47,2025,Warm,06,Hyp,04,G,47,,
125,2025_Hyp02_Hyp04_B39,2025,Hyp,02,Hyp,04,B,39,,
126,2025_Hyp05_Hyp04_B45,2025,Hyp,05,Hyp,04,B,45,,
127,2025_Both04_Hyp04_O43,2025,Both,04,Hyp,04,O,43,,
