,Sample_Name,Phase_1_DO,Phase_1_temp,Phase_2.1_DO,Phase_2.1_temp,Phase_1_treat,Phase_2_treat,Phase_1_rep_R,Phase_2_rep_R,Actual_shell_pre_mg,Actual_tissue_pre_mg,Actual_shell_post_mg,Actual_tissue_post_mg,Actual_shell_growth_mg,Actual_tissue_growth_mg,Exclude_all,Exclude_pre_analysis,Notes_pre,Notes_post,Area_pre_mm2,Feret_pre_mm,AreaNotes_Pre,Area_post_mm2,Feret_post_mm,AreaNotes_Post,Area_growth_mm2,Feret_growth_mm,Order_year2,Date_MMDDYYYY_year2,Year,Phase_1_rep,Phase_2_rep,Tag_color,Tag_num,Submerged_weight_year2,Dry_weight_year2,double_single_dead_year2,Notes_year2,Actual_shell_year2_mg,Actual_tissue_year2_mg,Actual_shell_growth_year2_mg,Actual_tissue_growth_year2_mg,Ratio_TS_year2,Exclude_year2
1,2024_Both01_Both02_O13,Hyp,Warm,Hyp,Warm,Both,Both,Both01,Both02,308.17644,249.12356,727.14408,373.35592,418.96764,124.23236,NA,NA,NA,NA,270.9,21.8,NA,363.4,26.3,NA,92.5,4.5,192,08272025,2025,01,02,O,13,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
2,2024_Both01_Both02_O14,Hyp,Warm,Hyp,Warm,Both,Both,Both01,Both02,370.08738,217.91262,655.41606,366.88394,285.32868,148.97132,NA,NA,NA,NA,247.7,20.2,NA,313.8,23.2,NA,66.1,3,174,08272025,2025,01,02,O,14,517.1,1309.3,NA,NA,816.44784,492.85216,161.03178,125.96822,0.782256894,NA
3,2024_Both01_Both03_O26,Hyp,Warm,Hyp,Warm,Both,Both,Both01,Both03,278.40852,155.89148,460.49952,200.20048,182.091,44.309,NA,NA,NA,NA,158.6,16.4,NA,234.2,20.7,NA,75.6,4.3,279,08262025,2025,01,03,O,26,797.2,1828.7,NA,NA,1259.95818,568.74182,799.45866,368.54134,0.460988614,NA
4,2024_Both01_Both05_O49,Hyp,Warm,Hyp,Warm,Both,Both,Both01,Both05,386.87142,201.42858,618.52284,329.37716,231.65142,127.94858,NA,NA,NA,NA,227.9,20.3,NA,319.3,24.2,NA,91.4,3.9,458,08252025,2025,01,05,O,49,726.4,1811.5,NA,NA,1147.85346,663.64654,529.33062,334.26938,0.631494509,NA
5,2024_Both01_Both05_O50,Hyp,Warm,Hyp,Warm,Both,Both,Both01,Both05,428.83152,233.36848,710.2017,353.6983,281.37018,120.32982,NA,NA,NA,NA,265.1,19.9,NA,325.9,22.3,NA,60.8,2.4,464,08252025,2025,01,05,O,50,726.2,1682.6,NA,NA,1147.53678,535.06322,437.33508,181.36492,0.414704716,NA
6,2024_Both01_Both06_O61,Hyp,Warm,Hyp,Warm,Both,Both,Both01,Both06,135.58584,95.01416,291.23406,196.26594,155.64822,101.25178,NA,NA,NA,NA,109.2,15,NA,167.1,18.9,NA,57.9,3.9,561,08252025,2025,01,06,O,61,346.2,799.6,NA,NA,545.84478,253.75522,254.61072,57.48928,0.22579285,NA
7,2024_Both01_Cont01_O2,Hyp,Warm,Norm,Ambient,Both,Cont,Both01,Cont01,185.14626,127.45374,448.78236,227.81764,263.6361,100.3639,NA,NA,NA,NA,111.8,13,NA,237.6,19.3,NA,125.8,6.3,5,08272025,2025,01,01,O,2,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
8,2024_Both01_Cont02_O13,Hyp,Warm,Norm,Ambient,Both,Cont,Both01,Cont02,622.16466,378.13534,1141.36152,472.43848,519.19686,94.30314,NA,NA,NA,NA,324,25.5,"6/26/25 SKM Manually calculated pre phase 2 data from remeasuring scales and converting from pixels, had to export as jpg, hoping this did not affect scale at all",440.8,26.8,NA,116.8,1.3,109,08272025,2025,01,02,O,13,1309.1,3109.3,NA,NA,2070.50064,1038.79936,929.13912,566.36088,0.609554444,NA
9,2024_Both01_Cont02_O14,Hyp,Warm,Norm,Ambient,Both,Cont,Both01,Cont02,1263.75834,948.74166,1799.89758,1217.60242,536.13924,268.86076,NA,NA,NA,NA,512.2,35.3,NA,597.3,33.9,NA,85.1,-1.4,115,08272025,2025,01,02,O,14,3053.5,8044.3,NA,NA,4832.5836,3211.7164,3032.68602,1994.11398,0.657540532,NA
10,2024_Both01_Cont04_O38,Hyp,Warm,Norm,Ambient,Both,Cont,Both01,Cont04,320.36862,184.13138,598.88868,365.51132,278.52006,181.37994,NA,NA,NA,NA,198.8,18.1,NA,262.5,21.5,NA,63.7,3.4,311,08262025,2025,01,04,O,38,814.8,1936.6,NA,NA,1287.82602,648.77398,688.93734,283.26266,0.411158815,NA
